player.playerId,Player
CD_I1004965,Tristan Xerri
CD_I998484,Cameron Zurhaar
CD_I990291,Darcy Cameron
CD_I293871,Jack Crisp
CD_I1005054,Josh Daicos
CD_I1023261,Nick Daicos
CD_I293801,Jamie Elliott
CD_I1006148,Bobby Hill
CD_I994295,Dan Houston
CD_I291313,Jeremy Howe
CD_I1003130,Patrick Lipinski
CD_I1017124,Ned Long
CD_I992010,Brayden Maynard
CD_I1004757,Beau McCreery
CD_I1013278,Reef McInnes
CD_I297504,Daniel McStay
CD_I294596,Tim Membrey
CD_I291849,Brody Mihocek
CD_I298288,Darcy Moore
CD_I260257,Scott Pendlebury
CD_I998205,Harry Perryman
CD_I1008089,Isaac Quaynor
CD_I1000860,Lachie Schultz
CD_I280965,Steele Sidebottom
CD_I998480,Lachlan Sullivan
CD_I294469,Aliir Aliir
CD_I1009191,Miles Bergman
CD_I1028529,Joe Berry
CD_I250365,Travis Boak
CD_I1013462,Jase Burgoyne
CD_I992128,Ryan Burton
CD_I991930,Darcy Byrne-Jones
CD_I1000972,Willem Drew
CD_I1019938,Logan Evans
CD_I1002253,Kane Farrell
CD_I298111,Jeremy Finlayson
CD_I1010174,Mitch Georgiades
CD_I1011640,Jason Horne-Francis
CD_I1011583,Lachie Jones
CD_I1004095,Jack Lukosius
CD_I1005326,Jackson Mead
CD_I993979,Sam Powell-Pepper
CD_I1008239,Joe Richards
CD_I296225,Willie Rioli
CD_I1001299,Connor Rozee
CD_I1017078,Josh Sinn
CD_I992330,Jordon Sweet
CD_I294318,Ollie Wines
CD_I297401,Matt Crouch
CD_I1001396,Isaac Cumming
CD_I1024023,Daniel Curtin
CD_I992242,Jordan Dawson
CD_I1022607,Sid Draper
CD_I999331,Darcy Fogarty
CD_I1004863,Mitchell Hinge
CD_I1013974,Mark Keane
CD_I993946,Ben Keays
CD_I293222,Rory Laird
CD_I1015370,Max Michalanney
CD_I990882,Wayne Milera
CD_I1008230,Nick Murray
CD_I296420,Alex Neal-Bullen
CD_I297523,Reilly O'Brien
CD_I1006013,James Peatling
CD_I1017051,Josh Rachele
CD_I1001195,Izak Rankine
CD_I1006136,Lachlan Sholl
CD_I1017109,Jake Soligo
CD_I1008384,Riley Thilthorpe
CD_I280506,Taylor Walker
CD_I1011981,Josh Worrell
CD_I1000958,Harry Boyd
CD_I1011994,Ryan Byrnes
CD_I1023784,Anthony Caminiti
CD_I1002264,Hunter Clark
CD_I991939,Zaine Cordy
CD_I1027790,Hugo Garcia
CD_I1020855,Max Hall
CD_I1027872,Angus Hastie
CD_I1002227,Jack Higgins
CD_I295584,Bradley Hill
CD_I991988,Zak Jones
CD_I295467,Jack Macrae
CD_I992468,Rowan Marshall
CD_I1035198,Liam O'Connell
CD_I1024279,Arie Schoenmaker
CD_I994389,Jack Sinclair
CD_I296205,Jack Steele
CD_I1015507,Nasiah Wanganeen-Milera
CD_I290757,Jimmy Webster
CD_I296422,Callum Wilkie
CD_I1027875,Darcy Wilson
CD_I1023270,Marcus Windhager
CD_I295340,Mason Wood
CD_I1012825,Jake Bowey
CD_I1005330,Kade Chandler
CD_I1001438,Bayley Fritsch
CD_I290528,Max Gawn
CD_I1008183,Jack Henderson
CD_I1017122,Blake Howes
CD_I1023486,Matthew Jefferson
CD_I1024173,Aidan Johnson
CD_I298264,Ed Langdon
CD_I1028546,Harvey Langford
CD_I298281,Jake Lever
CD_I1028531,Xavier Lindsay
CD_I291533,Tom McDonald
CD_I996701,Clayton Oliver
CD_I298210,Christian Petracca
CD_I1008893,Harrison Petty
CD_I1009378,Trent Rivers
CD_I296359,Christian Salem
CD_I1007099,Harry Sharp
CD_I999391,Tom Sparrow
CD_I1017720,Jacob van Rooyen
CD_I291902,Jack Viney
CD_I1027821,Caleb Windsor
CD_I1009253,Lachie Ash
CD_I1008139,Toby Bedford
CD_I1014038,Callum M. Brown
CD_I1009708,Jack Buckley
CD_I1019038,Aaron Cadman
CD_I1023266,Finn Callaghan
CD_I291969,Stephen Coniglio
CD_I1002251,Brent Daniels
CD_I1009528,Tom Green
CD_I295344,Toby Greene
CD_I1027921,Max Gruzewski
CD_I993107,Harry Himmelberg
CD_I1008083,Connor Idun
CD_I1020650,Darcy Jones
CD_I290314,Lachlan Keeffe
CD_I296347,Josh Kelly
CD_I1032119,James Leake
CD_I1006135,Xavier O'Halloran
CD_I1015862,Conor Stone
CD_I1005247,Sam Taylor
CD_I280109,Callan Ward
CD_I1004530,Jacob Wehr
CD_I294305,Lachie Whitfield
CD_I1004385,Oscar Allen
CD_I1000223,Liam Baker
CD_I1013511,Tyler Brockman
CD_I993820,Tom Cole
CD_I290826,Jamie Cripps
CD_I1023142,Tyrell Dewar
CD_I298268,Liam Duggan
CD_I1011437,Harry Edwards
CD_I993902,Matt Flynn
CD_I1023025,Reuben Ginbey
CD_I990827,Jack Graham
CD_I1020670,Elijah Hewett
CD_I1023167,Brady Hough
CD_I994385,Jayden Hunt
CD_I1036098,Jack Hutchinson
CD_I295898,Tim Kelly
CD_I1023496,Noah Long
CD_I1029416,Ryan Maric
CD_I294859,Jeremy McGovern
CD_I1013973,Matthew Owies
CD_I1027693,Archer Reid
CD_I1023492,Harley Reid
CD_I996554,Jake Waterman
CD_I998130,Ben Ainsworth
CD_I1009199,Noah Anderson
CD_I1008882,Charlie Ballard
CD_I1008454,Connor Budarick
CD_I1013257,Sam Clohesy
CD_I295446,Sam Collins
CD_I1026960,Will Graham
CD_I297456,Nick Holman
CD_I1023500,Bailey Humphrey
CD_I1005992,Joel Jeffrey
CD_I1006144,Ben King
CD_I993917,Ben Long
CD_I298272,Touk Miller
CD_I1000072,John Noble
CD_I1007881,Wil Powell
CD_I1027033,Ethan Read
CD_I1000981,Daniel Rioli
CD_I1018123,Jake Rogers
CD_I1009208,Matt Rowell
CD_I294643,Alex Sexton
CD_I1017665,Bodhi Uwland
CD_I298524,Lachie Weller
CD_I291975,Jarrod Witts
CD_I296294,Blake Acres
CD_I1022452,Lucas Camporeale
CD_I1002239,Adam Cerra
CD_I1008154,Matthew Cottrell
CD_I1021353,Lachlan Cowan
CD_I990704,Patrick Cripps
CD_I996731,Charlie Curnow
CD_I1004912,Tom De Koning
CD_I295518,Sam Docherty
CD_I1002228,Lachie Fogarty
CD_I295265,Nick Haynes
CD_I294036,George Hewett
CD_I1023495,Oliver Hollands
CD_I1009241,Brodie Kemp
CD_I1032108,Cooper Lord
CD_I297255,Mitch McGovern
CD_I1017700,Jesse Motlop
CD_I295461,Adam Saad
CD_I1001028,Jack Silvagni
CD_I1006094,Sam Walsh
CD_I993832,Jacob Weitering
CD_I294685,Zac Williams
CD_I997316,Lewis Young
CD_I297354,Karl Amon
CD_I990290,Tom Barrass
CD_I998134,Josh Battle
CD_I994077,Mabior Chol
CD_I1005144,Massimo D'Ambrosio
CD_I1008550,Will Day
CD_I1012857,Jack Ginnivan
CD_I291351,Jack Gunston
CD_I993794,Blake Hardwick
CD_I296254,Jarman Impey
CD_I998390,Changkuoth Jiath
CD_I1017094,Connor Macdonald
CD_I1023482,Cam Mackenzie
CD_I1009421,Finn Maginness
CD_I1000980,Lloyd Meek
CD_I1006314,Dylan Moore
CD_I1000963,Harry Morrison
CD_I1007124,Conor Nash
CD_I1020895,Jai Newcombe
CD_I297566,James Sicily
CD_I1017110,Josh Ward
CD_I1023473,Nick Watson
CD_I1027935,Josh Weddle
CD_I1008855,Oskar Baker
CD_I1000864,Lachlan Bramble
CD_I996708,Bailey Dale
CD_I1017126,Sam Darcy
CD_I1036123,Sam Davidson
CD_I1034235,Josh Dolan
CD_I290085,Taylor Duryea
CD_I1004592,Tim English
CD_I1027704,Joel Freijah
CD_I1017087,Harvey Gallagher
CD_I297899,James Harmes
CD_I1020586,Arthur Jones
CD_I1001398,Matthew Kennedy
CD_I998782,Buku Khamis
CD_I290799,Tom Liberatore
CD_I990740,Rory Lobb
CD_I1009015,Lachlan McNeil
CD_I1002404,Aaron Naughton
CD_I1008280,Ed Richards
CD_I1017939,Ryley Sanders
CD_I1005000,Laitham Vandermeer
CD_I1006127,Rhylee West
CD_I992351,Bailey Williams
CD_I990291,Darcy Cameron
CD_I998647,Mason Cox
CD_I293871,Jack Crisp
CD_I1005054,Josh Daicos
CD_I1023261,Nick Daicos
CD_I994185,Jordan De Goey
CD_I293801,Jamie Elliott
CD_I1006148,Bobby Hill
CD_I994295,Dan Houston
CD_I291313,Jeremy Howe
CD_I1003130,Patrick Lipinski
CD_I1017124,Ned Long
CD_I992010,Brayden Maynard
CD_I1004757,Beau McCreery
CD_I1013278,Reef McInnes
CD_I297504,Daniel McStay
CD_I294596,Tim Membrey
CD_I298288,Darcy Moore
CD_I260257,Scott Pendlebury
CD_I998205,Harry Perryman
CD_I1008089,Isaac Quaynor
CD_I1000860,Lachie Schultz
CD_I280965,Steele Sidebottom
CD_I1011954,Nick Bryan
CD_I1027899,Nate Caddy
CD_I1006103,Jye Caldwell
CD_I1005577,Sam Draper
CD_I1015810,Sam Durham
CD_I1006096,Xavier Duursma
CD_I1018323,Thomas Edwards
CD_I298421,Jade Gresham
CD_I1017088,Ben Hobbs
CD_I1011755,Harrison Jones
CD_I1028554,Isaac Kako
CD_I1012013,Nic Martin
CD_I998102,Andrew McGrath
CD_I1002143,Ben McKay
CD_I1013201,Jye Menzie
CD_I992016,Zach Merrett
CD_I1015873,Archie Perkins
CD_I1009386,Jaxon Prior
CD_I997078,Mason Redman
CD_I1012817,Zach Reid
CD_I1023515,Archie Roberts
CD_I291783,Dylan Shiel
CD_I1023785,Elijah Tsatas
CD_I297401,Matt Crouch
CD_I1001396,Isaac Cumming
CD_I1024023,Daniel Curtin
CD_I992242,Jordan Dawson
CD_I1022607,Sid Draper
CD_I999331,Darcy Fogarty
CD_I1004863,Mitchell Hinge
CD_I1013974,Mark Keane
CD_I993946,Ben Keays
CD_I293222,Rory Laird
CD_I1015370,Max Michalanney
CD_I990882,Wayne Milera
CD_I1008230,Nick Murray
CD_I296420,Alex Neal-Bullen
CD_I297523,Reilly O'Brien
CD_I1006013,James Peatling
CD_I1017051,Josh Rachele
CD_I1001195,Izak Rankine
CD_I1006136,Lachlan Sholl
CD_I1017109,Jake Soligo
CD_I1008384,Riley Thilthorpe
CD_I280506,Taylor Walker
CD_I1011981,Josh Worrell
CD_I294469,Aliir Aliir
CD_I1009191,Miles Bergman
CD_I1028529,Joe Berry
CD_I250365,Travis Boak
CD_I1013462,Jase Burgoyne
CD_I992128,Ryan Burton
CD_I991930,Darcy Byrne-Jones
CD_I1000972,Willem Drew
CD_I1019938,Logan Evans
CD_I1002253,Kane Farrell
CD_I1010174,Mitch Georgiades
CD_I1011640,Jason Horne-Francis
CD_I1011583,Lachie Jones
CD_I1004095,Jack Lukosius
CD_I1005326,Jackson Mead
CD_I1028563,Christian Moraes
CD_I993979,Sam Powell-Pepper
CD_I1008239,Joe Richards
CD_I296225,Willie Rioli
CD_I1001299,Connor Rozee
CD_I1017078,Josh Sinn
CD_I992330,Jordon Sweet
CD_I294318,Ollie Wines
CD_I1028525,Harry Armstrong
CD_I1013197,Sam Banks
CD_I1021152,Jacob Bauer
CD_I1013229,Jacob Blight
CD_I295203,Nathan Broad
CD_I1017086,Tom Brown
CD_I1023275,Seth Campbell
CD_I1009226,Thomson Dow
CD_I1022383,Liam Fawcett
CD_I1023056,Steely Green
CD_I993903,Jacob Hopper
CD_I1028491,Sam Lalor
CD_I1008478,Rhyan Mansell
CD_I294592,Kamdyn McIntosh
CD_I1002403,Ben Miller
CD_I298174,Toby Nankervis
CD_I1006133,Jack Ross
CD_I992049,Jayden Short
CD_I1022999,Kaleb Smith
CD_I998172,Tim Taranto
CD_I1028521,Luke Trainor
CD_I1031829,James Trezise
CD_I294674,Nick Vlastuin
CD_I1011994,Ryan Byrnes
CD_I1023784,Anthony Caminiti
CD_I1002264,Hunter Clark
CD_I1017959,Lance Collard
CD_I1027790,Hugo Garcia
CD_I1020855,Max Hall
CD_I1002227,Jack Higgins
CD_I295584,Bradley Hill
CD_I991988,Zak Jones
CD_I1015323,Isaac Keeler
CD_I295467,Jack Macrae
CD_I992468,Rowan Marshall
CD_I1035198,Liam O'Connell
CD_I1023272,Mitch Owens
CD_I994389,Jack Sinclair
CD_I296205,Jack Steele
CD_I1008312,Liam Stocker
CD_I1015507,Nasiah Wanganeen-Milera
CD_I290757,Jimmy Webster
CD_I296422,Callum Wilkie
CD_I1027875,Darcy Wilson
CD_I1023270,Marcus Windhager
CD_I295340,Mason Wood
CD_I994386,Tom Atkins
CD_I296733,Mark Blicavs
CD_I998260,Jack Bowes
CD_I293845,Jeremy Cameron
CD_I1023537,Jhye Clark
CD_I1023542,Ted Clohesy
CD_I999326,Brad Close
CD_I270917,Patrick Dangerfield
CD_I1009229,Sam De Koning
CD_I1025034,Oliver Dempsey
CD_I1004870,Zach Guthrie
CD_I1000937,Jack Henry
CD_I1012860,Oliver Henry
CD_I1015889,Max Holmes
CD_I1013464,Lawson Humphries
CD_I1021103,Mitch Knevitt
CD_I1004938,Gryan Miers
CD_I1024982,Oisin Mullin
CD_I1016433,Shannon Neale
CD_I1007102,Mark O'Connor
CD_I1027877,Connor O'Sullivan
CD_I997230,Tyson Stengle
CD_I291800,Tom Stewart
CD_I298437,Callum Ah Chee
CD_I996059,Harris Andrews
CD_I1005053,Noah Answerth
CD_I1028560,Levi Ashcroft
CD_I1023517,Will Ashcroft
CD_I1002312,Zac Bailey
CD_I998133,Jarrod Berry
CD_I291753,Sam Day
CD_I993834,Josh Dunkley
CD_I1023708,Jaspa Fletcher
CD_I993953,Eric Hipwood
CD_I291548,Ryan Lester
CD_I1000978,Hugh McCluggage
CD_I1005521,Oscar McInerney
CD_I997846,Conor McKenna
CD_I1029405,Will McLachlan
CD_I1028019,Logan Morris
CD_I293535,Lachie Neale
CD_I1002347,Jack Payne
CD_I1002235,Cam Rayner
CD_I1009317,Bruce Reville
CD_I1017067,Darcy Wilmot
CD_I261224,Dayne Zorko
CD_I1004385,Oscar Allen
CD_I1000223,Liam Baker
CD_I1013511,Tyler Brockman
CD_I993820,Tom Cole
CD_I290826,Jamie Cripps
CD_I1023142,Tyrell Dewar
CD_I298268,Liam Duggan
CD_I1011437,Harry Edwards
CD_I1023025,Reuben Ginbey
CD_I1024188,Clay Hall
CD_I1020670,Elijah Hewett
CD_I1023167,Brady Hough
CD_I994385,Jayden Hunt
CD_I295898,Tim Kelly
CD_I1023496,Noah Long
CD_I1029416,Ryan Maric
CD_I294859,Jeremy McGovern
CD_I1013973,Matthew Owies
CD_I1006550,Jack Petruccelle
CD_I1027693,Archer Reid
CD_I1023492,Harley Reid
CD_I1004364,Liam Ryan
CD_I1006114,Bailey J. Williams
CD_I1015781,Charlie Comben
CD_I294508,Aidan Corr
CD_I1002947,Paul Curtis
CD_I295136,Caleb Daniel
CD_I290838,Jack Darling
CD_I1002267,Luke Davies-Uniacke
CD_I1023144,Robert Hansen Jr
CD_I1023530,Jacob Konstanty
CD_I1001017,Nick Larkey
CD_I296355,Luke McDonald
CD_I1024272,Colby McKercher
CD_I1028495,Finn O'Sullivan
CD_I290778,Luke Parker
CD_I1012829,Will Phillips
CD_I1002138,Toby Pink
CD_I1011659,Tom Powell
CD_I1006058,Bailey Scott
CD_I1023518,Harry Sheezel
CD_I993998,Jy Simpkin
CD_I1004848,Dylan Stephens
CD_I993816,Darcy Tucker
CD_I1004965,Tristan Xerri
CD_I998484,Cameron Zurhaar
CD_I1012825,Jake Bowey
CD_I1005330,Kade Chandler
CD_I1001438,Bayley Fritsch
CD_I290528,Max Gawn
CD_I1008183,Jack Henderson
CD_I1017122,Blake Howes
CD_I1023486,Matthew Jefferson
CD_I298264,Ed Langdon
CD_I298281,Jake Lever
CD_I1028531,Xavier Lindsay
CD_I291533,Tom McDonald
CD_I996701,Clayton Oliver
CD_I298210,Christian Petracca
CD_I1008893,Harrison Petty
CD_I1009378,Trent Rivers
CD_I296359,Christian Salem
CD_I1007099,Harry Sharp
CD_I1002282,Charlie Spargo
CD_I999391,Tom Sparrow
CD_I1020959,Daniel Turner
CD_I1017720,Jacob van Rooyen
CD_I291902,Jack Viney
CD_I1018425,Taj Woewodin
CD_I1020594,Jye Amiss
CD_I998180,Bailey Banfield
CD_I993993,Shai Bolton
CD_I1002232,Andrew Brayshaw
CD_I1013224,Heath Chapman
CD_I1006152,Jordan Clark
CD_I997033,Brennan Cox
CD_I1020668,Joshua Draper
CD_I1020250,Neil Erasmus
CD_I999321,Michael Frederick
CD_I1009399,Luke Jackson
CD_I1016825,Matthew Johnson
CD_I1013220,Nathan O'Driscoll
CD_I294613,Jaeger O'Meara
CD_I298409,Alex Pearce
CD_I1028513,Murphy Reid
CD_I998659,Luke Ryan
CD_I1009420,Caleb Serong
CD_I1009380,Jeremy Sharp
CD_I1012819,Josh Treacy
CD_I1017754,Patrick Voss
CD_I993940,Corey Wagner
CD_I1009410,Brandon Walker
CD_I1008091,Joel Amartey
CD_I1008224,Riley Bice
CD_I1006028,Nick Blakey
CD_I1013133,Braeden Campbell
CD_I998103,Oliver Florent
CD_I293957,Brodie Grundy
CD_I295222,Joel Hamling
CD_I1027687,Tom Hanily
CD_I997100,Will Hayward
CD_I298539,Isaac Heeney
CD_I1013409,James Jordon
CD_I997142,Peter Ladhams
CD_I295342,Jake Lloyd
CD_I1008198,Tom McCartin
CD_I1003203,Hayden McLean
CD_I996765,Tom Papley
CD_I290307,Dane Rampe
CD_I1012210,Matt Roberts
