player.playerId,Player
CD_I1006103,Jye Caldwell
CD_I1005577,Sam Draper
CD_I1015810,Sam Durham
CD_I1006096,Xavier Duursma
CD_I298421,Jade Gresham
CD_I1017088,Ben Hobbs
CD_I1011755,Harrison Jones
CD_I1028554,Isaac Kako
CD_I298630,Kyle Langford
CD_I1012013,Nic Martin
CD_I998102,Andrew McGrath
CD_I1002143,Ben McKay
CD_I992016,Zach Merrett
CD_I1015873,Archie Perkins
CD_I1009386,Jaxon Prior
CD_I997078,Mason Redman
CD_I1012817,Zach Reid
CD_I1001026,Jordan Ridley
CD_I1023515,Archie Roberts
CD_I291783,Dylan Shiel
CD_I1023785,Elijah Tsatas
CD_I994386,Tom Atkins
CD_I296733,Mark Blicavs
CD_I998260,Jack Bowes
CD_I293845,Jeremy Cameron
CD_I1023537,Jhye Clark
CD_I999326,Brad Close
CD_I270917,Patrick Dangerfield
CD_I1009229,Sam De Koning
CD_I1025034,Oliver Dempsey
CD_I1004870,Zach Guthrie
CD_I1000937,Jack Henry
CD_I1012860,Oliver Henry
CD_I1015889,Max Holmes
CD_I1013464,Lawson Humphries
CD_I1021103,Mitch Knevitt
CD_I1004938,Gryan Miers
CD_I1024982,Oisin Mullin
CD_I1016433,Shannon Neale
CD_I1007102,Mark O'Connor
CD_I1027877,Connor O'Sullivan
CD_I1006130,Bailey Smith
CD_I997230,Tyson Stengle
CD_I291800,Tom Stewart
CD_I1020594,Jye Amiss
CD_I998180,Bailey Banfield
CD_I1002232,Andrew Brayshaw
CD_I1013224,Heath Chapman
CD_I1006152,Jordan Clark
CD_I997033,Brennan Cox
CD_I1020668,Joshua Draper
CD_I999321,Michael Frederick
CD_I1009399,Luke Jackson
CD_I1016825,Matthew Johnson
CD_I1013220,Nathan O'Driscoll
CD_I294613,Jaeger O'Meara
CD_I298409,Alex Pearce
CD_I1028513,Murphy Reid
CD_I1023346,Liam Reidy
CD_I998659,Luke Ryan
CD_I1009420,Caleb Serong
CD_I1009380,Jeremy Sharp
CD_I992059,Sam Switkowski
CD_I1012819,Josh Treacy
CD_I993940,Corey Wagner
