playerId,Season,roundNumber,matchId,name,TOG,AF,CBA,KI,teamName,CBA_PERC,KI_PERC,SC,TeamCBA,TeamKI,CBA_PERC_chg,KI_PERC_chg
CD_I1012210,2025,2,CD_M20250140208,Matt Roberts,94,95,0,5,Sydney Swans,0,45,115,22,11,0,24
CD_I1012817,2025,2,CD_M20250140203,Zach Reid,96,51,0,1,Essendon,0,9,36,43,11,0,9
CD_I1012819,2025,2,CD_M20250140208,Josh Treacy,92,91,1,0,Fremantle,5,0,112,22,13,5,0
CD_I1012825,2025,2,CD_M20250140207,Jake Bowey,78,93,0,5,Melbourne,0,45,97,31,11,0,9
CD_I1012829,2025,2,CD_M20250140207,Will Phillips,56,52,11,0,North Melbourne,35,0,57,31,12,2,0
CD_I1012857,2025,2,CD_M20250140201,Jack Ginnivan,78,44,0,0,Hawthorn,0,0,50,23,12,0,0
CD_I1012860,2025,2,CD_M20250140205,Oliver Henry,86,48,0,0,Geelong Cats,0,0,41,32,7,0,0
CD_I1013133,2025,2,CD_M20250140208,Braeden Campbell,80,64,0,0,Sydney Swans,0,0,54,22,11,0,0
CD_I1013197,2025,2,CD_M20250140204,Sam Banks,28,25,0,0,Richmond,0,0,39,34,14,0,0
CD_I1013220,2025,2,CD_M20250140208,Nathan O'Driscoll,71,79,0,0,Fremantle,0,0,95,22,13,-68,0
CD_I1013224,2025,2,CD_M20250140208,Heath Chapman,75,57,0,0,Fremantle,0,0,58,22,13,0,-22
CD_I1013229,2025,2,CD_M20250140204,Jacob Blight,77,65,5,0,Richmond,15,0,65,34,14,15,0
CD_I1013278,2025,2,CD_M20250140202,Reef McInnes,4,0,0,0,Collingwood,0,0,0,24,10,0,0
CD_I1013409,2025,2,CD_M20250140208,James Jordon,82,63,20,0,Sydney Swans,91,0,66,22,11,16,0
CD_I1013462,2025,2,CD_M20250140204,Jase Burgoyne,100,122,0,0,Port Adelaide,0,0,127,34,14,0,0
CD_I1013464,2025,2,CD_M20250140205,Lawson Humphries,84,87,0,0,Geelong Cats,0,0,80,32,7,0,-22
CD_I1013511,2025,2,CD_M20250140206,Tyler Brockman,76,42,0,0,West Coast Eagles,0,0,46,29,10,-6,0
CD_I1013973,2025,2,CD_M20250140206,Matthew Owies,84,69,0,0,West Coast Eagles,0,0,63,29,10,0,0
CD_I1013974,2025,2,CD_M20250140203,Mark Keane,95,26,0,4,Adelaide Crows,0,40,32,43,10,0,-18
CD_I1015370,2025,2,CD_M20250140203,Max Michalanney,90,72,0,0,Adelaide Crows,0,0,70,43,10,0,0
CD_I1015507,2025,2,CD_M20250140205,Nasiah Wanganeen-Milera,89,101,0,7,St Kilda,0,58,113,32,12,-3,20
CD_I1015781,2025,2,CD_M20250140207,Charlie Comben,95,82,0,0,North Melbourne,0,0,101,31,12,0,0
CD_I1015810,2025,2,CD_M20250140203,Sam Durham,82,60,31,0,Essendon,72,0,77,43,11,17,0
CD_I1015873,2025,2,CD_M20250140203,Archie Perkins,82,63,21,0,Essendon,49,0,53,43,11,25,0
CD_I1015889,2025,2,CD_M20250140205,Max Holmes,77,77,19,0,Geelong Cats,59,0,91,32,7,-3,0
CD_I1016433,2025,2,CD_M20250140205,Shannon Neale,97,57,0,0,Geelong Cats,0,0,59,32,7,0,0
CD_I1016825,2025,2,CD_M20250140208,Matthew Johnson,70,68,4,0,Fremantle,18,0,51,22,13,-32,0
CD_I1017051,2025,2,CD_M20250140203,Josh Rachele,85,96,2,0,Adelaide Crows,5,0,88,43,10,5,0
CD_I1017067,2025,2,CD_M20250140206,Darcy Wilmot,83,91,0,3,Brisbane Lions,0,33,101,29,9,0,0
CD_I1017078,2025,2,CD_M20250140204,Josh Sinn,75,90,0,2,Port Adelaide,0,14,82,34,14,0,-16
CD_I1017086,2025,2,CD_M20250140204,Tom Brown,84,53,0,2,Richmond,0,14,69,34,14,0,1
CD_I1017087,2025,2,CD_M20250140202,Harvey Gallagher,77,62,0,0,Footscray,0,0,55,24,16,0,0
CD_I1017088,2025,2,CD_M20250140203,Ben Hobbs,74,36,0,0,Essendon,0,0,44,43,11,-9,0
CD_I1017094,2025,2,CD_M20250140201,Connor Macdonald,27,20,0,0,Hawthorn,0,0,10,23,12,0,0
CD_I1017109,2025,2,CD_M20250140203,Jake Soligo,73,101,21,0,Adelaide Crows,49,0,108,43,10,-2,0
CD_I1017110,2025,2,CD_M20250140201,Josh Ward,76,101,8,0,Hawthorn,35,0,101,23,12,29,0
CD_I1017122,2025,2,CD_M20250140207,Blake Howes,75,48,0,0,Melbourne,0,0,53,31,11,0,0
CD_I1017124,2025,2,CD_M20250140202,Ned Long,75,72,14,0,Collingwood,58,0,57,24,10,-13,0
CD_I1017126,2025,2,CD_M20250140202,Sam Darcy,86,100,4,0,Footscray,17,0,117,24,16,-7,0
CD_I1017700,2025,2,CD_M20250140201,Jesse Motlop,75,87,2,0,Carlton,9,0,81,23,8,-3,0
CD_I1017720,2025,2,CD_M20250140207,Jacob van Rooyen,76,58,4,0,Melbourne,13,0,64,31,11,13,0
CD_I1017939,2025,2,CD_M20250140202,Ryley Sanders,71,69,3,0,Footscray,12,0,62,24,16,-30,0
CD_I1018424,2025,2,CD_M20250140208,Corey Warner,85,68,0,0,Sydney Swans,0,0,56,22,11,0,0
CD_I1019938,2025,2,CD_M20250140204,Logan Evans,77,108,0,4,Port Adelaide,0,29,101,34,14,0,29
CD_I1020586,2025,2,CD_M20250140202,Arthur Jones,61,31,0,0,Footscray,0,0,24,24,16,0,0
CD_I1020594,2025,2,CD_M20250140208,Jye Amiss,91,44,0,0,Fremantle,0,0,55,22,13,0,0
CD_I1020668,2025,2,CD_M20250140208,Joshua Draper,46,32,0,0,Fremantle,0,0,59,22,13,0,0
CD_I1020670,2025,2,CD_M20250140206,Elijah Hewett,70,53,4,0,West Coast Eagles,14,0,58,29,10,-9,0
CD_I1020855,2025,2,CD_M20250140205,Max Hall,79,51,1,0,St Kilda,3,0,33,32,12,3,0
CD_I1020895,2025,2,CD_M20250140201,Jai Newcombe,80,142,18,0,Hawthorn,78,0,149,23,12,-1,0
