Player,Team,Position,Price,PriceChg,PricedAt,BreakEven,LastScore,LastTG,LastPPM,LastCBA,CBAchg,LastKI,KIchg,SeasAvg,SeasTG,SeasPPM,SeasCBA,SeasKI,Last3Score,Last3TG,Last3PPM,Last3CBA,Last3KI,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000Chg,OwnershipTop100Chg,OwnershipTop10Chg,WinAvg,LossAvg,HomeAvg,AwayAvg,OppLastScore,OppLast3Score,OppCareer,ReservesAvg,ReservesLast
Zac Fisher,NTH,DEF,846000,0,86.5827448572306,91,0,0,0,0,0,0,0,0,74,0,0,0,0,74,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massimo D'Ambrosio,HAW,MID,753000,-9000,77.0647835431379,83,94,83,1.13253012048193,0,0,0,0,70.6666666666667,76,0.929824561403509,0,0,70.6666666666667,76,0.929824561403509,0,0,4.61,0,0,0,0,0,0,70.6666666666667,0,45,83.5,0,0,0,0,0
Kieren Briggs,GWS,RUC,870000,0,89.0389929382868,147,0,0,0,0,0,0,0,8,12,0.666666666666667,0.0588235294117647,0,8,12,0.666666666666667,0.0588235294117647,0,1.76,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0
Tom Liberatore,WBD,MID,935000,23000,95.6913314911473,78,109,82,1.32926829268293,79,0,0,0,119.666666666667,83,1.44176706827309,0.789473684210526,0,119.666666666667,83,1.44176706827309,0.789473684210526,0,4.76,11,18,30,0.5,4,10,108,109,108.5,0,0,0,101.791666666667,0,0
Will Setterfield,ESS,MID,833000,0,85.2522771466585,90,0,0,0,0,0,0,0,0,78,0,0,0,0,78,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Docherty,CAR,MID,740000,-22000,75.7343158325658,92,70,86,0.813953488372093,0,-17,0,0,67.3333333333333,67,1.00497512437811,0.0851063829787234,0,67.3333333333333,67,1.00497512437811,0.0851063829787234,0,2.35,0,0,0,-0.1,0,0,0,63,70,56,0,0,99.15,0,0
Nick Vlastuin,RIC,DEF,808000,-28000,82.6936853955583,105,53,79,0.670886075949367,0,0,21,-12,54.3333333333333,84,0.646825396825397,0,0.275862068965517,54.3333333333333,84,0.646825396825397,0,0.275862068965517,0.82,0,0,0,0,0,0,85,53,85,53,0,87.5,72.375,0,0
Will Brodie,FRE,MID,481000,0,49.2273052911677,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Amon,HAW,DEF,952000,14000,97.4311738818954,89,91,84,1.08333333333333,0,0,25,-6,103,83,1.24096385542169,0,0.323529411764706,103,83,1.24096385542169,0,0.323529411764706,4.49,0.9,3,0,-1.1,0,0,103,0,111,99,0,0,0,0,0
Jacob Hopper,RIC,MID,811000,-30000,83.0007164056903,108,54,77,0.701298701298701,76,-7,0,0,49,83,0.590361445783133,0.793103448275862,0,49,83,0.590361445783133,0.793103448275862,0,0.53,0,0,0,0,0,0,81,54,81,54,87.5,87.5,66.875,0,0
Jake Lloyd,SYD,DEF/MID,785000,11000,80.3397809845461,71,99,90,1.1,0,0,9,9,82,89,0.921348314606742,0,0.027027027027027,82,89,0.921348314606742,0,0.027027027027027,4.28,0,0,0,0,0,0,99,73.5,73.5,99,0,0,0,0,0
Dylan Moore,HAW,FWD,875000,-48000,89.5507112885068,126,45,79,0.569620253164557,4,-5,0,0,72,86,0.837209302325582,0.105882352941176,0,72,86,0.837209302325582,0.105882352941176,0,20.62,0.5,0,0,-2.2,-2,0,72,0,97,59.5,0,0,0,0,0
James Sicily,HAW,DEF,874000,-13000,89.4483676184628,99,81,95,0.852631578947369,0,0,33,-5,83.3333333333333,94,0.886524822695036,0,0.323529411764706,83.3333333333333,94,0.886524822695036,0,0.323529411764706,12.46,2.3,2,0,-0.4,-3,-10,83.3333333333333,0,88,81,0,0,0,0,0
Darcy Cameron,COL,RUC,1007000,-8000,103.060075734316,111,100,84,1.19047619047619,79,-2,0,0,101.666666666667,78,1.3034188034188,0.7625,0,101.666666666667,78,1.3034188034188,0.7625,0,5.96,0.3,1,0,-0.2,1,0,84.5,136,69,118,0,0,0,0,0
Sean Darcy,FRE,RUC,798000,0,81.6702486951182,86,0,0,0,0,0,0,0,0,71,0,0,0,0,71,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Roberts,SYD,DEF,840000,20000,85.9686828369665,73,95,94,1.01063829787234,0,0,45,24,93.3333333333333,93,1.00358422939068,0,0.243243243243243,93.3333333333333,93,1.00358422939068,0,0.243243243243243,46.65,93.6,92,100,11,10,30,95,92.5,92.5,95,0,0,0,0,0
James Worpel,HAW,MID,774000,0,79.214000614062,97,0,0,0,0,0,0,0,49,44,1.11363636363636,0.152941176470588,0,49,44,1.11363636363636,0.152941176470588,0,1.7,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0
Willem Drew,PTA,MID,847000,-2000,86.6850885272746,87,108,73,1.47945205479452,82,14,0,0,73.3333333333333,75,0.977777777777778,0.753846153846154,0,73.3333333333333,75,0.977777777777778,0.753846153846154,0,0.29,0,0,0,0,0,0,108,58,108,58,0,0,75.7142857142857,0,0
Blake Acres,CAR,MID,858000,-50000,87.8108688977587,129,34,84,0.404761904761905,0,0,0,0,63.3333333333333,83,0.763052208835341,0,0,63.3333333333333,83,0.763052208835341,0,0,0.61,0,0,0,0,0,0,0,63,34,92,103.75,103.75,76.8214285714286,0,0
Jarrod Berry,BRL,MID,912000,34000,93.3374270801351,68,118,79,1.49367088607595,0,0,0,0,111,82,1.35365853658537,0,0,111,82,1.35365853658537,0,0,0.58,0.1,0,0,0.1,0,0,111,0,118,104,0,0,0,0,0
Bailey Scott,NTH,MID,811000,-6000,83.0007164056903,87,81,84,0.964285714285714,0,0,0,0,80,83,0.963855421686747,0,0,80,83,0.963855421686747,0,0,0.13,0,0,0,0,0,0,81,79,81,79,0,0,0,0,0
Ed Langdon,MEL,MID,799000,-15000,81.7725923651622,94,66,83,0.795180722891566,45,41,0,0,85.6666666666667,93,0.921146953405018,0.263157894736842,0,85.6666666666667,93,0.921146953405018,0.263157894736842,0,0.23,0,0,0,0,0,0,0,74.5,83,66,0,0,82.75,0,0
Andrew McGrath,ESS,DEF,863000,-16000,88.3225872479787,102,58,80,0.725,2,2,0,-12,66.3333333333333,82,0.808943089430894,0.0131578947368421,0.0526315789473684,66.3333333333333,82,0.808943089430894,0.0131578947368421,0.0526315789473684,1.23,0.7,1,0,-0.1,0,-10,0,82,58,106,0,0,71.7142857142857,0,0
Daniel Rioli,GCS,DEF,849000,0,86.8897758673626,96,0,0,0,0,0,0,0,70.5,80,0.88125,0,0,70.5,80,0.88125,0,0,2.95,0,0,0,-0.7,-1,0,78,0,0,78,0,0,67.8928571428572,0,0
