playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1023842,2025,2,Zippy,Fish,2,CD_T9408,SYD,Sydney Swans,Swans,2,90.7,0,1,2,0,3,0,0,0,1,28.3,6.5,0,0,0,5,75.5,26.5,96.5,20,12.5,0,0.5,1,0,0.5,0,4,8,0,0,0,0,1.5,2.5,8.5,67.6,7,7,18.5,2.3,4.5,0.5,0.5,557.3,2,6,0,8,0,3.5,2.5,0,1.5,1,3,0,1,23,5.5,16.5
CD_I1023857,2025,2,Georgie,Cleaver,2,CD_T8787,WAA,Waalitj Marawar,Eagles,2,81,0,0,0,0,2,0,0,3.5,1,36.8,3.5,0,0,0,5,72.2,9,44,6.5,4,0,0.5,0,0,0,0,2.5,3.5,0,0,0,0,0,2.5,5.5,72.7,0,0,5.5,1.6,4,0,0,128.6,2.5,5.5,0,1.5,0,0.5,0.5,0,2,0,2.5,0,0,9.5,1.5,6
CD_I1023943,2025,2,Matilda,Scholz,2,CD_T9409,YAR,Yartapuulti,Power,2,87.8,1,0,27,1.5,5.5,0.5,100,0.5,1,80.6,12.5,4,1,25,3.5,46.4,14,64.5,6.5,3.5,0.5,2.5,1.5,0,0,0,8.5,5,20.5,6,29.3,52.6,2,0.5,3,38.9,0,0,9,1.8,2,1,0,219.1,3.5,7,0,1,39,3,1.5,1,2.5,3,1.5,0.5,4.5,15.5,6,3
CD_I1023946,2025,2,Georgia,McKee,2,CD_T8098,KUW,Kuwarna,Crows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1023948,2025,2,Poppy,Scholz,2,CD_T8096,CARL,Carlton,Blues,2,86.6,0,0,0,0,2,0,0,1,0,31.6,3,0,0,0,5,73.7,9.5,45,7,3.5,0,0.5,0.5,100,0,0.5,2.5,4.5,0,0,0,0,1,0.5,3,70,0,0,5,1.1,3,0,0,207.6,3.5,7,0,2.5,0,1,0.5,0.5,3.5,0,2.5,0,0,9.5,2.5,6.5
CD_I1023950,2025,2,Alissa,Brook,2,CD_T9409,YAR,Yartapuulti,Power,2,65.2,0,0,0,0,2.5,2,80,2.5,0,72.7,4,0.5,0,0,6,72.7,5.5,22,4,1.5,0.5,1.5,0.5,0,0,0,3.5,3.5,2,0,0,44.4,0.5,0,2.5,75,0,0,2,0.6,1,0,0,31.9,4,8,0,0.5,4.5,0.5,0,0,3,0,2,0.5,0,5.5,1,1.5
CD_I1023952,2025,2,Lucy,Boyd,2,CD_T8787,WAA,Waalitj Marawar,Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1023956,2025,2,Jemma,Charity,2,CD_T9409,YAR,Yartapuulti,Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1024085,2025,2,India,Rasheed,2,CD_T8098,KUW,Kuwarna,Crows,2,72.3,0,0,0,0,1,0,0,0,0.5,44,5.5,1.5,1,66.7,4,64,12.5,53.5,8,5,2.5,0,0,50,1,0.5,5,5,0,0,0,0,2,0,0.5,66.7,0,0,7.5,1.5,4,0.5,0.5,160.2,0.5,11,0,0,0,3,0,1,0.5,0.5,1.5,0.5,0.5,12.5,2,7
CD_I1024294,2025,2,Lulu,Pullar,2,CD_T9408,SYD,Sydney Swans,Swans,2,60.6,0,0,0,0,1,0,0,0.5,0,21.1,2,0.5,0,0,5,68.4,9.5,38.5,6.5,3.5,0,0.5,0,0,0,0,1.5,3.5,0,0,0,0,1.5,0.5,0.5,58.3,0,0,6,1.7,3,0.5,0.5,129,1,8,0,1.5,0,2,0,0,0.5,0.5,1.5,0,0.5,9.5,2,7.5
CD_I1024296,2025,2,Rachel,Kearns,2,CD_T8467,GEEL,Geelong Cats,Cats,2,85.9,0,0,0,0,2.5,0,0,0,0,27.8,2.5,0,0,0,4.5,65,10,32,6.5,4,0,1,0.5,0,0,0,1.5,3,0,0,0,0,0.5,1.5,5,57.1,3,1,7,2.3,2.5,0,0,179.2,4.5,5.5,0,2.5,0,0.5,0.5,0,3,0.5,0,0,0.5,9,3,6.5
CD_I1024535,2025,2,Darcie,Davies,2,CD_T8786,GCFC,Gold Coast SUNS,SUNS,2,73.2,0,0,8,0,5,0,0,0.5,1,54.5,3,4,0,0,3,33.3,4.5,31.5,1.5,1,0.5,2.5,0.5,66.7,0,1,1.5,1.5,6.5,0.5,7.7,38.2,0.5,0.5,0.5,33.3,0,0,3,2,2,1.5,0.5,38.1,1.5,7,0,0,17,1.5,0.5,1.5,1.5,0,2,1,0,5.5,3.5,2.5
CD_I1024536,2025,2,Tara,Harrington,2,CD_T8786,GCFC,Gold Coast SUNS,SUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1024541,2025,2,Sienna,McMullen,2,CD_T8786,GCFC,Gold Coast SUNS,SUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1024549,2025,2,Nyalli,Milne,2,CD_T8786,GCFC,Gold Coast SUNS,SUNS,2,70.9,0.5,0,0,0,2.5,0,0,0,0,41.2,3.5,0.5,0,0,2.5,58.8,8.5,31,5,2.5,0.5,0,0.5,0,0,0,3,4,0,0,0,0,1,0,1.5,55.6,0,0,4.5,1.1,1.5,0,0.5,111.6,0.5,8.5,0,0,0,1.5,0,0.5,0,0,1,0,0,8.5,2,5
