playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ranking,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1005258,2025,2,Eloise,Jones,2,CD_T8098,KUW,Kuwarna,Crows,2,80,3,0,0,0,2,0,0,0,1,54.5,12,2,1,50,7,45.8,24,134,11,8,2,0,1,40,1,2,9,5,0,0,0,0,8,0,6,42.1,0,0,19,3.8,9,3,1,529,1,24,0,0,0,0,12,0,5,1,2,6,2,2,22,5,10
CD_I1005264,2025,2,Ashleigh,Woodland,2,CD_T9409,YAR,Yartapuulti,Power,2,85.3,1,0,21,1,8,0,0,0,1,46.7,14,2,0,0,16,29,31,159,9,7,3,1,2,0,1,0,8,7,0,0,0,0,3,0,6,29.2,0,0,24,3.4,7,1,0,493,2,38,0,0,5,0,4,0,1,0,1,13,4,2,30,7,16
CD_I1005269,2025,2,Anne,Hatchard,2,CD_T8098,KUW,Kuwarna,Crows,2,89.4,1,0,21,0,6,0,0,0,0,40.6,13,1,0,0,12,67.9,28,130,19,5,1,3,5,0,1,0,5,17,4,0,0,30.8,3,0,1,45.5,0,0,11,0.6,6,1,0,336,4,32,0,0,1,13,7,0,3,1,4,11,3,4,32,5,19
CD_I1005279,2025,2,Ebony,Marinoff,2,CD_T8098,KUW,Kuwarna,Crows,2,89.3,0,0,25,2,6,0,0,0,0,41.8,23,0,0,0,23,63.3,60,242,38,17,5,1,1,0,1,0,19,26,0,0,0,0,7,0,8,50,0,0,34,1.3,6,0,0,825,2,42,0,0,7,1,5,0,0,2,5,18,3,7,55,14,32
CD_I1005285,2025,2,Sarah,Allan,2,CD_T8098,KUW,Kuwarna,Crows,1,100,0,0,0,0,4,0,0,0,1,46.2,6,0,0,0,6,81.8,11,34,9,4,0,3,0,0,0,0,4,6,0,0,0,0,1,0,6,80,0,0,5,0.8,4,1,0,139,5,6,0,0,0,0,0,0,0,4,0,1,0,0,13,2,7
CD_I1005361,2025,2,Daria,Bannister,2,CD_T9406,ESS,Essendon,Bombers,2,72.3,2,0,0,0,2,0,0,0,0,57.1,8,0,0,0,4,50,14,70,7,4,2,1,4,20,1,1,4,5,0,0,0,0,0,0,2,44.4,0,0,9,1.8,4,0,2,144,1,16,0,0,1,0,8,0,5,1,1,3,1,1,14,2,6
CD_I1005374,2025,2,Ellyse,Gamble,2,CD_T9406,ESS,Essendon,Bombers,2,83.6,0,0,0,0,1,1,100,1,0,22.2,2,0,0,0,6,90,10,47,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,90,0,0,10,10,3,0,0,214,7,8,0,0,2,0,0,0,0,6,0,2,0,0,9,0,7
CD_I1005386,2025,2,Stevie-Lee,Thompson,2,CD_T8098,KUW,Kuwarna,Crows,1,65,0,0,0,1,1,0,0,0,0,40,4,0,0,0,3,77.8,9,47,7,2,1,0,1,0,0,0,2,6,0,0,0,0,1,0,2,66.7,0,0,3,0.5,3,0,0,106,1,14,0,0,0,0,2,0,0,0,0,4,1,1,10,3,6
CD_I1005437,2025,2,Laura,Pugh,2,CD_T7886,WAL,Walyalup,Dockers,2,85.5,0,0,0,0,10,3,50,6,0,44.4,8,0,0,0,13,47.8,23,92,11,9,0,2,0,0,0,0,7,5,0,0,0,0,0,0,11,50,7,6,18,3.6,2,0,0,445,3,15,0,0,8,0,0,0,0,2,0,7,0,0,18,11,10
CD_I1005452,2025,2,Nicola,Barr,2,CD_T8796,EUR,Euro-Yroke,St Kilda,1,69.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,50,8,43,4,2,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,33.3,0,0,6,3,4,0,0,155,0,7,0,0,1,0,0,0,0,0,0,3,0,0,8,2,8
