playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1014991,2025,1,Keeley,Skepper,1,CD_T8096,CARL,Carlton,Blues,1,59,0,0,0,0,2,0,0,0,0,14.3,1,0,0,0,3,66.7,6,28,4,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,66.7,0,0,6,6,3,0,1,158.1,1,6,0,0,0,0,0,0,0,0,1,0,0,7,2,6
CD_I1015012,2025,1,Ally,Morphett,1,CD_T9408,SYD,Sydney Swans,Swans,1,74.8,0,0,14,3,7,1,100,1,0,64.3,9,0,0,0,5,25,12,57,3,1,0,4,0,0,1,0,7,6,20,7,35,51.3,5,0,1,16.7,0,0,6,1,1,0,0,193.5,2,9,0,1,39,4,3,0,2,2,4,0,5,14,4,5
CD_I1015025,2025,1,Georgia,Gall,1,CD_T7386,MELB,Melbourne,Demons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015029,2025,1,Maeve,Chaplin,1,CD_T7386,MELB,Melbourne,Demons,1,69.2,0,0,0,0,2,0,0,0,0,50,7,0,0,0,4,78.6,14,39,11,2,0,1,0,0,0,0,7,10,0,0,0,0,2,1,8,50,0,0,4,0.4,2,0,0,175,2,4,0,0,0,2,1,0,2,0,1,0,0,14,3,7
CD_I1015047,2025,1,Mimi,Hill,1,CD_T8096,CARL,Carlton,Blues,1,80.1,1,1,10,0,7,0,0,0,0,53.1,17,0,0,0,12,46.9,32,108,15,6,4,2,2,0,1,0,13,18,0,0,0,0,6,1,6,42.9,0,0,14,0.8,3,0,0,420.7,0,21,0,2,0,4,1,1,0,6,6,0,6,32,9,15
CD_I1015053,2025,1,Alana,Porter,1,CD_T8097,COLL,Collingwood,Magpies,1,74,0,0,0,0,3,0,0,0,0,55.6,5,0,0,0,1,42.9,7,36,3,1,1,1,0,100,0,1,4,4,0,0,0,0,0,0,3,33.3,0,0,3,0.8,0,0,0,64.8,1,10,0,0,0,1,0,1,0,0,4,1,0,9,3,4
CD_I1015060,2025,1,Nicola,Xenos,1,CD_T8796,STK,St Kilda,St Kilda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015068,2025,1,Charlie,Rowbottom,1,CD_T8786,GCFC,Gold Coast SUNS,SUNS,1,81,0,0,9,1,6,0,0,0,0,56,14,0,0,0,8,68,25,78,17,4,3,4,1,0,0,0,12,16,0,0,0,0,2,1,8,44.4,0,0,9,0.6,2,1,0,137.1,2,18,0,0,0,3,2,1,2,3,6,1,4,25,4,11
CD_I1015070,2025,1,Eliza,James,1,CD_T8097,COLL,Collingwood,Magpies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015088,2025,1,Elizabeth,McNamara,1,CD_T7386,MELB,Melbourne,Demons,1,88.3,0,0,0,0,2,0,0,0,0,27.3,6,1,0,0,5,59.1,22,92,13,9,1,0,1,0,0,0,5,6,0,0,0,0,5,0,2,56.3,0,0,16,2.7,1,0,0,491.2,0,15,0,2,0,5,1,0,0,0,7,4,0,22,5,16
