playerId,teamId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1010102,CD_T8097,2025,2,Nell Morris-Dalton,FWD,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1010103,CD_T7387,2025,2,Isabella Grant,DEF,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1010104,CD_T8788,2025,2,Monique Conti,MID,Richmond,22,183.333333333333,12,0,5,4,0,,0,0,66,0
CD_I1010236,CD_T7386,2025,2,Gabrielle Colvin,DEF,Demons,0,0,19,0,3,2,0,,0,0,64,0
CD_I1010257,CD_T8786,2025,2,Clara Fitzpatrick,DEF,SUNS,0,0,22,0,13,9,0,,0,0,56,0
CD_I1010263,CD_T9408,2025,2,Chloe Molloy,FWD,Swans,10,45.4545454545455,22,0,3,3,0,,0,2,56,3.57142857142857
CD_I1010264,CD_T9406,2025,2,Alexandra Morcom,DEF,Bombers,1,8.33333333333333,12,0,1,1,0,,0,0,61,0
CD_I1010265,CD_T8466,2025,2,Ash Riddell,MID,Kangaroos,27,150,18,0,3,2,0,,0,0,47,0
CD_I1010279,CD_T9406,2025,2,Bess Keaney,MID,Bombers,0,0,12,0,1,1,0,,0,0,61,0
CD_I1010658,CD_T9407,2025,2,Kristy Stratton,FWD,Hawks,0,0,9,0,10,10,0,,0,0,59,0
CD_I1010662,CD_T8786,2025,2,Claudia Whitfort,MID,SUNS,9,40.9090909090909,22,0,13,9,0,,0,0,56,0
CD_I1010663,CD_T7886,2025,2,Ashleigh Brazill,DEF,Dockers,0,0,25,0,3,2,0,,0,0,62,0
CD_I1010677,CD_T8466,2025,2,Kim Rennie,RUC,Kangaroos,24,133.333333333333,18,0,3,2,0,,0,62,47,131.914893617021
CD_I1010686,CD_T7387,2025,2,Elle Bennetts,DEF,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1010688,CD_T8788,2025,2,Maddie Shevlin,MID,Richmond,0,0,12,1,5,4,0,,20,0,66,0
CD_I1010689,CD_T7387,2025,2,Naomi Ferres,FWD,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1010690,CD_T9406,2025,2,Bonnie Toogood,FWD,Bombers,0,0,12,0,1,1,0,,0,7,61,11.4754098360656
CD_I1011057,CD_T8098,2025,2,Teah Charlton,MID,Crows,3,18.75,16,0,9,9,0,,0,0,67,0
CD_I1011062,CD_T9409,2025,2,Cheyenne Hammond,DEF,Power,0,0,18,0,9,5,0,,0,0,47,0
CD_I1011069,CD_T8098,2025,2,Hannah Munyard,FWD,Crows,0,0,16,0,9,9,0,,0,0,67,0
CD_I1011078,CD_T8098,2025,2,Abbie Ballard,FWD,Crows,0,0,16,0,9,9,0,,0,0,67,0
CD_I1011080,CD_T8098,2025,2,Chelsea Biddell,DEF,Crows,0,0,16,11,9,9,11,100,122.222222222222,0,67,0
CD_I1011091,CD_T8098,2025,2,Rachelle Martin,MID,Crows,0,0,16,0,9,9,0,,0,0,67,0
CD_I1011095,CD_T8098,2025,2,Madison Newman,MID,Crows,0,0,16,1,9,9,1,100,11.1111111111111,0,67,0
CD_I1012234,CD_T8097,2025,2,Mikayla Hyde,FWD,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1012236,CD_T7886,2025,2,Sarah Verrier,DEF,Dockers,0,0,25,1,3,2,1,100,33.3333333333333,0,62,0
CD_I1012241,CD_T9409,2025,2,Abbey Dowrick,MID,Power,24,133.333333333333,18,0,9,5,0,,0,1,47,2.12765957446809
CD_I1012242,CD_T7886,2025,2,Emma O'Driscoll,DEF,Dockers,0,0,25,0,3,2,0,,0,0,62,0
CD_I1012248,CD_T7886,2025,2,Philipa Seth,FWD,Dockers,2,8,25,0,3,2,0,,0,0,62,0
CD_I1012253,CD_T9409,2025,2,Jasmin Stewart,FWD,Power,0,0,18,0,9,5,0,,0,0,47,0
CD_I1012259,CD_T8787,2025,2,Jaide Britton,MID,Eagles,0,0,12,0,7,6,0,,0,0,62,0
CD_I1012549,CD_T7889,2025,2,Chloe Dalton,DEF,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1012555,CD_T8096,2025,2,Celine Moody,FWD,Blues,0,0,9,0,12,7,0,,0,0,59,0
CD_I1012558,CD_T9406,2025,2,Brooke Walker,MID,Bombers,0,0,12,0,1,1,0,,0,0,61,0
CD_I1012560,CD_T8467,2025,2,Chantel Emonson,DEF,Cats,0,0,16,0,5,3,0,,0,0,67,0
CD_I1012575,CD_T9407,2025,2,Casey Sherriff,MID,Hawks,6,66.6666666666667,9,0,10,10,0,,0,0,59,0
CD_I1012580,CD_T9406,2025,2,Sophie Alexander,FWD,Bombers,0,0,12,0,1,1,0,,0,4,61,6.55737704918033
CD_I1012581,CD_T7886,2025,2,Gabrielle Biedenweg-Webster,FWD,Dockers,0,0,25,0,3,2,0,,0,0,62,0
CD_I1012595,CD_T7387,2025,2,Vaomua Laloifi,DEF,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1012637,CD_T8097,2025,2,Mikala Cann,MID,Magpies,8,66.6666666666667,12,0,1,0,0,,0,0,63,0
CD_I1012640,CD_T8467,2025,2,Julia Crockett-Grills,MID,Cats,5,31.25,16,0,5,3,0,,0,0,67,0
CD_I1012661,CD_T7387,2025,2,Lauren Ahrens,DEF,Bulldogs,0,0,12,4,3,2,2,200,133.333333333333,0,67,0
CD_I1012662,CD_T8097,2025,2,Airlie Runnalls,MID,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1012668,CD_T8788,2025,2,Caitlin Greiser,FWD,Richmond,5,41.6666666666667,12,0,5,4,0,,0,32,66,48.4848484848485
CD_I1012692,CD_T8788,2025,2,Kate Dempsey,MID,Richmond,0,0,12,0,5,4,0,,0,0,66,0
CD_I1012694,CD_T7387,2025,2,Alice Edmonds,RUC,Bulldogs,22,183.333333333333,12,0,3,2,0,,0,107,67,159.701492537313
CD_I1012700,CD_T8788,2025,2,Beth Lynch,DEF,Richmond,0,0,12,0,5,4,0,,0,0,66,0
CD_I1012709,CD_T8096,2025,2,Tara Bohanna,FWD,Blues,0,0,9,0,12,7,0,,0,7,59,11.864406779661
CD_I1012712,CD_T8787,2025,2,Alison Drennan,MID,Eagles,18,150,12,0,7,6,0,,0,0,62,0
CD_I1012713,CD_T7386,2025,2,Shelley Heath,DEF,Demons,19,100,19,0,3,2,0,,0,0,64,0
CD_I1012716,CD_T8097,2025,2,Selena Karlson,DEF,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1012957,CD_T9408,2025,2,Alice Mitchell,DEF,Swans,0,0,22,2,3,3,2,100,66.6666666666667,0,56,0
CD_I1012987,CD_T8796,2025,2,Serene Watson,DEF,St Kilda,0,0,19,13,11,9,8,162.5,118.181818181818,0,64,0
CD_I1012989,CD_T7887,2025,2,Taylor Smith,FWD,Lions,0,0,25,0,5,2,0,,0,13,62,20.9677419354839
CD_I1012994,CD_T7886,2025,2,Bella R. Smith,FWD,Dockers,0,0,25,0,3,2,0,,0,1,62,1.61290322580645
CD_I1013015,CD_T9407,2025,2,Tamara Smith,DEF,Hawks,0,0,9,0,10,10,0,,0,0,59,0
CD_I1013017,CD_T8796,2025,2,Molly McDonald,MID,St Kilda,1,5.26315789473684,19,0,11,9,0,,0,0,64,0
CD_I1013026,CD_T7387,2025,2,Elisabeth Georgostathis,DEF,Bulldogs,11,91.6666666666667,12,0,3,2,0,,0,0,67,0
CD_I1013027,CD_T8096,2025,2,Abbie McKay,MID,Blues,19,211.111111111111,9,0,12,7,0,,0,0,59,0
CD_I1013028,CD_T8786,2025,2,Katie Lynch,DEF,SUNS,0,0,22,0,13,9,0,,0,0,56,0
CD_I1013032,CD_T7387,2025,2,Britney Gutknecht,DEF,Bulldogs,0,0,12,5,3,2,5,100,166.666666666667,0,67,0
CD_I1013120,CD_T8466,2025,2,Nicole Bresnehan,DEF,Kangaroos,0,0,18,0,3,2,0,,0,0,47,0
CD_I1013442,CD_T8466,2025,2,Jasmine Ferguson,DEF,Kangaroos,0,0,18,0,3,2,0,,0,0,47,0
CD_I1013522,CD_T9406,2025,2,Georgia Nanscawen,MID,Bombers,30,250,12,0,1,1,0,,0,0,61,0
CD_I1013706,CD_T8097,2025,2,Sarah Rowe,MID,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1013933,CD_T8467,2025,2,Georgie Rankin,DEF,Cats,0,0,16,4,5,3,3,133.333333333333,80,0,67,0
CD_I1013937,CD_T7886,2025,2,Angelique Stannett,FWD,Dockers,0,0,25,0,3,2,0,,0,0,62,0
CD_I1013943,CD_T8466,2025,2,Tessa Boyd,DEF,Kangaroos,0,0,18,0,3,2,0,,0,0,47,0
CD_I1014034,CD_T7886,2025,2,Aisling McCarthy,MID,Dockers,31,124,25,0,3,2,0,,0,0,62,0
CD_I1014359,CD_T9408,2025,2,Laura Gardiner,MID,Swans,31,140.909090909091,22,0,3,3,0,,0,0,56,0
CD_I1014367,CD_T7386,2025,2,Alyssa Bannan,FWD,Demons,0,0,19,0,3,2,0,,0,0,64,0
CD_I1014372,CD_T7387,2025,2,Jessica Fitzgerald,MID,Bulldogs,20,166.666666666667,12,2,3,2,2,100,66.6666666666667,0,67,0
CD_I1014373,CD_T8096,2025,2,Ciara Fitzgerald,DEF,Blues,0,0,9,1,12,7,1,100,8.33333333333333,0,59,0
CD_I1014375,CD_T8788,2025,2,Ellie McKenzie,MID,Richmond,23,191.666666666667,12,0,5,4,0,,0,0,66,0
CD_I1014556,CD_T8796,2025,2,Hannah Priest,DEF,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1014559,CD_T9407,2025,2,Najwa Allen,DEF,Hawks,0,0,9,0,10,10,0,,0,0,59,0
CD_I1014599,CD_T8098,2025,2,Caitlin Gould,FWD,Crows,2,12.5,16,0,9,9,0,,0,20,67,29.8507462686567
CD_I1014618,CD_T9409,2025,2,Tiffany King,,Power,0,0,18,0,9,5,0,,0,0,47,0
CD_I1014624,CD_T9409,2025,2,Indy Tahau,FWD,Power,0,0,18,2,9,5,2,100,22.2222222222222,0,47,0
CD_I1014628,CD_T7889,2025,2,Taylah Levy,FWD,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1014662,CD_T8098,2025,2,Kiera Mueller,DEF,Crows,0,0,16,1,9,9,1,100,11.1111111111111,0,67,0
CD_I1014663,CD_T8098,2025,2,Zoe Prowse,DEF,Crows,0,0,16,0,9,9,0,,0,0,67,0
CD_I1014781,CD_T8788,2025,2,Emelia Yassir,FWD,Richmond,0,0,12,0,5,4,0,,0,0,66,0
CD_I1014785,CD_T8467,2025,2,Zali Friswell,FWD,Cats,0,0,16,0,5,3,0,,0,0,67,0
CD_I1014793,CD_T7386,2025,2,Tahlia Gillard,DEF,Demons,0,0,19,0,3,2,0,,0,0,64,0
CD_I1014810,CD_T8467,2025,2,Georgie Prespakis,MID,Cats,29,181.25,16,0,5,3,0,,0,0,67,0
CD_I1014835,CD_T8796,2025,2,Tyanna Smith,MID,St Kilda,23,121.052631578947,19,0,11,9,0,,0,0,64,0
CD_I1014841,CD_T8796,2025,2,Ashleigh Richards,FWD,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1014869,CD_T9407,2025,2,Jenna Richardson,DEF,Hawks,0,0,9,0,10,10,0,,0,0,59,0
CD_I1014873,CD_T8096,2025,2,Tarni Brown,FWD,Blues,0,0,9,0,12,7,0,,0,0,59,0
CD_I1014882,CD_T8788,2025,2,Laura McClelland,FWD,Richmond,0,0,12,0,5,4,0,,0,0,66,0
CD_I1014904,CD_T7386,2025,2,Megan Fitzsimon,MID,Demons,8,42.1052631578947,19,0,3,2,0,,0,0,64,0
CD_I1014917,CD_T8097,2025,2,Lily-Rose Williamson,MID,Magpies,1,8.33333333333333,12,0,1,0,0,,0,0,63,0
CD_I1014962,CD_T8796,2025,2,Ella Friend,DEF,St Kilda,0,0,19,3,11,9,3,100,27.2727272727273,0,64,0
CD_I1014991,CD_T8096,2025,2,Keeley Skepper,MID,Blues,0,0,9,0,12,7,0,,0,0,59,0
CD_I1015012,CD_T9408,2025,2,Ally Morphett,RUC,Swans,29,131.818181818182,22,0,3,3,0,,0,76,56,135.714285714286
CD_I1015025,CD_T7386,2025,2,Georgia Gall,FWD,Demons,0,0,19,0,3,2,0,,0,0,64,0
CD_I1015029,CD_T7386,2025,2,Maeve Chaplin,DEF,Demons,0,0,19,2,3,2,2,100,66.6666666666667,0,64,0
CD_I1015047,CD_T8096,2025,2,Mimi Hill,MID,Blues,18,200,9,0,12,7,0,,0,0,59,0
CD_I1015053,CD_T8097,2025,2,Alana Porter,FWD,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1015060,CD_T8796,2025,2,Nicola Xenos,MID,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1015068,CD_T8786,2025,2,Charlie Rowbottom,MID,SUNS,26,118.181818181818,22,0,13,9,0,,0,1,56,1.78571428571429
CD_I1015070,CD_T8097,2025,2,Eliza James,FWD,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1015088,CD_T7386,2025,2,Elizabeth McNamara,MID,Demons,3,15.7894736842105,19,0,3,2,0,,0,0,64,0
CD_I1015091,CD_T7387,2025,2,Sarah Hartwig,FWD,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1015094,CD_T8796,2025,2,Alice Burke,DEF,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1015097,CD_T8466,2025,2,Bella Eddey,MID,Kangaroos,0,0,18,0,3,2,0,,0,0,47,0
CD_I1015105,CD_T7889,2025,2,Daisy Walker,DEF,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1015124,CD_T8466,2025,2,Ruby Tripodi,MID,Kangaroos,20,111.111111111111,18,0,3,2,0,,0,0,47,0
