playerId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1022101,2025,1,Eliza Wood,FWD,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1022111,2025,1,Eliza West,MID,Hawks,8,80,10,0,11,0,,0,0,56,0
CD_I1022112,2025,1,Imogen Barnett,FWD,Magpies,13,100,13,0,8,0,,0,37,68,54.4117647058824
CD_I1022127,2025,1,Claudia Gunjaca,DEF,Cats,0,0,15,0,3,0,,0,0,61,0
CD_I1022133,2025,1,Annabel Johnson,DEF,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1022181,2025,1,Shineah Goody,MID,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1022192,2025,1,Meara Girvan,DEF,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1022193,2025,1,Sarah Goodwin,DEF,Crows,4,36.3636363636364,11,0,5,0,,0,0,54,0
CD_I1022196,2025,1,Piper Window,FWD,Power,12,85.7142857142857,14,0,4,0,,0,0,61,0
CD_I1022203,2025,1,Elaine Grigg,FWD,Bulldogs,1,7.14285714285714,14,0,8,0,,0,0,55,0
CD_I1022210,2025,1,Sachi Syme,MID,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1022220,2025,1,Molly Brooksby,DEF,Power,0,0,14,4,4,4,100,100,0,61,0
CD_I1022224,2025,1,Brooke Boileau,FWD,Crows,4,36.3636363636364,11,0,5,0,,0,0,54,0
CD_I1022236,2025,1,Jessica Good,RUC,Blues,10,76.9230769230769,13,0,3,0,,0,30,68,44.1176470588235
CD_I1022248,2025,1,Lauren Young,FWD,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1022299,2025,1,Amelie Borg,DEF,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1022350,2025,1,Cynthia Hamilton,FWD,Swans,2,12.5,16,0,8,0,,0,0,61,0
CD_I1022358,2025,1,Zarlie Goldsworthy,FWD,GIANTS,16,80,20,0,7,0,,0,0,54,0
CD_I1022685,2025,1,Brooke Sheridan,DEF,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1022689,2025,1,Bella K. Smith,FWD,Cats,0,0,15,0,3,0,,0,0,61,0
CD_I1022691,2025,1,Ella Smith,MID,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1022695,2025,1,Jasmyn Smith,MID,Bulldogs,0,0,14,0,8,0,,0,0,55,0
CD_I1022701,2025,1,Alana Gee,MID,St Kilda,0,0,11,0,7,0,,0,0,54,0
CD_I1022723,2025,1,Brodee Mowbray,FWD,GIANTS,0,0,20,0,7,0,,0,0,54,0
CD_I1022726,2025,1,Teagan Germech,DEF,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1022736,2025,1,Jessica Doyle,FWD,GIANTS,0,0,20,0,7,0,,0,0,54,0
