playerId,name,seasonAvg,games,cba,ki,tog,ppm,season,kicks,handballs,marks,tackles,hitouts,freeFor,freeAgainst,goals,behinds,seasonHigh,seasonLow,firstHalf,secondHalf,lastFive,lastThree,stateAvg,priorSeason,priorSeasonGames,mmRank,dateOfBirth
1019035,Greta Bodey,62.4,11,0.505050505050505,0,87.6,0.89041095890411,2025,9.1,4.5,2.3,3.3,0,0.8,0.7,1.1,0.9,123,32,62.4,70.5,59.8,58,0,50.7,10,,1995-07-11
1019700,Mackenzie Eardley,44.7,10,1.51515151515152,11.9402985074627,74.2,0.753032345013477,2025,5.1,2.5,2.2,3.7,1.5,0.7,0.8,0.4,0.8,74,16,58.5,32,33.2,44.6666666666667,0,45.6,9,,2004-01-13
1019821,Jasmine Fleming,75.8,13,45.959595959596,0,77.6,1.22100515463918,2025,12.1,6.5,2.3,4.5,0,1.2,0.7,0.4,0.3,100,52,74.6,78.6666666666667,77.4,67.6666666666667,0,59.2,10,,2004-11-05
1019828,Keely Coyne,0,0,0,0,0,,2025,0,0,0,0,0,0,0,0,0,,,,,,,0,45.3,7,,2004-11-22
1019830,Bridie Hipwell,39.5,11,0,0,74.7,0.660977242302544,2025,4.4,2.7,1.5,3.8,0,0.5,0.9,0.5,0.5,79,11,43.75,40,39,25.3333333333333,0,35.1,10,,2004-06-15
1019883,Laura Elliott,29.5,11,0,1.49253731343284,74.5,0.49496644295302,2025,5.2,2.3,1.9,1.3,0,0.3,0.5,0,0,53,8,25.6666666666667,33.1666666666667,37.4,34,0,43,8,,2004-10-27
1021819,Sophie Butterworth,31,1,0,0,85,0.455882352941176,2025,2,5,1,3,0,0,0,0,0,31,31,,31,31,31,0,,,,2005-12-11
1021822,Mikayla Williamson,46.8,13,0,0,73.1,0.800273597811218,2025,5.5,4.6,1.8,3.5,0,0.5,0.2,0.2,0.1,66,12,49,44.1666666666667,43.6,46.6666666666667,0,,,,2005-05-08
1021824,Hayley McLaughlin,28,6,0,0,61.8,0.566343042071198,2025,1.8,3.5,0.3,3.5,0,0.5,0,0,0,51,12,23.5,30.25,31.2,33,0,,,,2005-11-22
1021837,Laura Stone,25.1,7,3.03030303030303,0,57.5,0.545652173913044,2025,3.1,2.7,0.6,1.6,0,0.4,0.3,0.4,0.1,44,3,30.6,11.5,22.4,22.3333333333333,0,,,,2005-11-22
1021844,Jess Vukic,28.3,11,25.7575757575758,0,46.4,0.76239224137931,2025,2.5,2.4,0.2,2.4,8.7,0.7,1.4,0.1,0,59,5,20.3333333333333,35.1666666666667,27.4,32.6666666666667,0,,,,2005-05-09
1022111,Eliza West,87.1,13,83.8383838383838,0,82.9,1.31332931242461,2025,8.2,13.8,1.2,7.8,0,1.5,1.2,0.3,0.1,130,64,95.8,86.6666666666667,74,70.6666666666667,0,70.9,11,,1997-05-26
1025507,Emily Everist,38.6,11,0,0,90.5,0.533149171270718,2025,5.5,3.3,2.5,2.3,0,0.6,0.5,0,0,49,19,39,36.25,39.4,38.3333333333333,0,43.9,9,,2004-07-17
1025671,Daisy Flockart,,,,,,,2025,,,,,,,,,,,,,,,,0,,,,2006-02-23
1026929,Lucy Wales,78.5,13,70.7070707070707,0,77.4,1.26776485788114,2025,6.4,5.5,2.3,4.5,25.8,1,1.2,0,0.1,121,39,82,82.6666666666667,70.6,54.3333333333333,0,64.9,9,,2003-05-30
1029626,Áine McDonagh,54.2,13,0,0,90,0.752777777777778,2025,7.2,2.8,3.1,2.2,0.8,1.5,0.8,1.2,1.5,100,27,59.2,54.8333333333333,46.2,47.3333333333333,0,53.3,10,,1998-08-28
1031303,Elli Symonds,,,,,,,2025,,,,,,,,,,,,,,,,0,,,,2006-10-07
1031314,Grace Baba,,,,,,,2025,,,,,,,,,,,,,,,,0,,,,2006-09-17
1033875,Rebecca Clottey,,,,,,,2025,,,,,,,,,,,,,,,,0,,,,2006-05-05
1037024,Lavinia Cox,,,,,,,2025,,,,,,,,,,,,,,,,0,,,,2006-01-31
997649,Kaitlyn Ashmore,54.1,13,0,0,74.2,0.911388140161725,2025,7.5,3.6,2.8,3.4,0,1,0.3,0.3,0.2,72,37,57.8,52.8333333333333,54.6,54.6666666666667,0,66,10,,1991-11-08
998155,Emily Bates,86.3,12,79.7979797979798,0,81.9,1.31715506715507,2025,10.5,10.5,2.5,7.1,0,1.7,2.2,0.4,0.3,127,53,80.25,86.5,93,83,0,93.2,10,,1995-10-18
1005264,Ashleigh Saint,57,14,28.5024154589372,0,85.1,0.837250293772033,2025,7.5,3.6,1.3,4.5,2.1,0.5,0.5,0.6,0.6,82,24,50.8333333333333,62.2,59.6,60.6666666666667,,42.7,9,,1998-09-09
1005955,Justine Mules-Robinson,40.9,14,0,0,74.1,0.689946018893387,2025,5.5,2.4,0.9,4,0,0.5,0.5,0.3,0.2,61,18,39.3333333333333,43.6,39.4,39.3333333333333,,43,10,,1994-12-15
1007141,Gemma Houghton,48.1,14,0,0,84.8,0.709021226415095,2025,6.9,3.2,1.6,2.9,0.4,0.6,1.5,1.2,0.9,78,20,42.6666666666667,46.8,54,61,,77.5,10,,1993-12-31
1007360,Ebony O'Dea,31.5,14,0,2.12765957446809,82.5,0.477272727272727,2025,5.2,1.4,0.8,2.8,0,1,0.6,0.1,0,49,16,29.5,31.6,33,35.3333333333333,,37.6,10,,1994-12-15
1011062,Cheyenne Hammond,34.5,14,30.4347826086957,0,72.8,0.592376373626374,2025,3.9,3,0.3,4.4,0,0.6,0.9,0,0.1,53,13,31,34,41,42.3333333333333,,35.6,10,,1998-07-29
1012241,Abbey Dowrick,79.4,13,63.2850241545894,0,77.7,1.27734877734878,2025,12.7,4.6,1.2,6.8,0,1,0.9,0.5,0.5,100,60,76.5,83,84,80.3333333333333,,85.9,10,,2002-09-23
