player_id,Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
101,Sam Docherty,CAR,0.461179,0,0,0
102,Matt Duffy,CAR,0.765905,0,0,0
103,Corey Durdin,CAR,0.055058,0,0,0
104,Orazio Fantasia,CAR,0.27747,0,0,0
105,Lachie Fogarty,CAR,0.121564,0,0,0
106,Nick Haynes,CAR,0.709212,0,0,0
108,Elijah Hollands,CAR,0.114477,0,0,0
109,Oliver Hollands,CAR,1.17094,0,0,0
110,Brodie Kemp,CAR,0.34016,0,0,0
111,Harry Lemmey,CAR,0.0523323,0,0,0
112,Cooper Lord,CAR,0.807335,0,0,0
113,Mitch McGovern,CAR,0.215326,0,0,0
114,Harry McKay,CAR,0.853671,0,0,0
115,Ashton Moir,CAR,0.883108,0,0,0
116,Rob Monahan,CAR,0.0239857,0,0,0
118,Nic Newman,CAR,0.0795888,0,0,0
120,Hudson O'Keeffe,CAR,0.129195,0,0,0
121,Marc Pittonet,CAR,0.0654154,0,0,0
124,Jagga Smith,CAR,1.81364,0,0,0
126,Jacob Weitering,CAR,1.70843,0,0,0
127,Zac Williams,CAR,0.801884,0,0,0
128,Billy Wilson,CAR,0.298185,0,0,0
129,Lewis Young,CAR,0.144459,0,0,0
132,Joel Cochran,COL,0.163539,0,0,0
133,Mason Cox,COL,1.00631,0,0,0
134,Jack Crisp,COL,0.496067,0,0,0
135,Josh Daicos,COL,1.89269,0,0,0
137,Jordan De Goey,COL,0.309633,0,0,0
138,Charlie Dean,COL,0.0757729,0,0,0
139,Harry DeMattia,COL,0.181528,0,0,0
140,Jamie Elliott,COL,0.832411,0,0,0
141,Billy Frampton,COL,0.267658,0,0,0
142,Harvey Harrison,COL,0.0299821,0,0,0
143,William Hayes,COL,0.702671,0,0,0
144,Bobby Hill,COL,2.26228,0,0,0
145,Will Hoskin-Elliott,COL,0.222958,0,0,0
147,Jeremy Howe,COL,0.394128,0,0,0
148,Tew Jiath,COL,0.417023,0,0,0
149,Ash Johnson,COL,0.258936,0,0,0
150,Patrick Lipinski,COL,2.5005,0,0,0
152,Finlay Macrae,COL,0.280741,0,0,0
153,Oleg Markov,COL,0.290008,0,0,0
154,Brayden Maynard,COL,0.873841,0,0,0
155,Beau McCreery,COL,0.481348,0,0,0
156,Reef McInnes,COL,0.395763,0,0,0
157,Daniel McStay,COL,2.36913,0,0,0
158,Tim Membrey,COL,1.07826,0,0,0
159,Brody Mihocek,COL,0.294369,0,0,0
160,Tom Mitchell,COL,0.144459,0,0,0
161,Darcy Moore,COL,1.10225,0,0,0
162,Wil Parker,COL,0.323261,0,0,0
163,Scott Pendlebury,COL,0.410482,0,0,0
165,Isaac Quaynor,COL,2.31189,0,0,0
166,Jakob Ryan,COL,0.145004,0,0,0
167,Lachie Schultz,COL,0.406666,0,0,0
168,Steele Sidebottom,COL,0.565298,0,0,0
169,Iliro Smit,COL,0.0959426,0,0,0
170,Oscar Steene,COL,0.197882,0,0,0
171,Lachlan Sullivan,COL,0.242582,0,0,0
173,Nick Bryan,ESS,2.05077,0,0,0
174,Nate Caddy,ESS,2.07094,0,0,0
176,Angus Clarke,ESS,0.206604,0,0,0
177,Nik Cox,ESS,0.230044,0,0,0
178,Alwyn Davey Jnr,ESS,0.198972,0,0,0
181,Sam Durham,ESS,1.15622,0,0,0
182,Xavier Duursma,ESS,0.305817,0,0,0
184,Kayle Gerreyn,ESS,0.178257,0,0,0
185,Todd Goldstein,ESS,0.25294,0,0,0
186,Jade Gresham,ESS,0.249124,0,0,0
187,Matt Guelfi,ESS,0.0528775,0,0,0
188,Lewis Hayes,ESS,0.121019,0,0,0
189,Ben Hobbs,ESS,0.985047,0,0,0
190,Zak Johnson,ESS,0.207149,0,0,0
191,Harrison Jones,ESS,0.334709,0,0,0
193,Kyle Langford,ESS,0.299821,0,0,0
194,Jayden Laverde,ESS,0.0844949,0,0,0
195,Luamon Lual,ESS,0.0735923,0,0,0
197,Andrew McGrath,ESS,0.429016,0,0,0
198,Ben McKay,ESS,0.3805,0,0,0
199,Jye Menzie,ESS,0.457363,0,0,0
202,Darcy Parish,ESS,0.153181,0,0,0
203,Archie Perkins,ESS,0.751187,0,0,0
205,Mason Redman,ESS,0.443735,0,0,0
207,Jordan Ridley,ESS,0.431197,0,0,0
209,Will Setterfield,ESS,0.187524,0,0,0
210,Dylan Shiel,ESS,0.393038,0,0,0
212,Rhys Unwin,ESS,0.137918,0,0,0
213,Vigo Visentini,ESS,0.0834047,0,0,0
214,Peter Wright,ESS,0.0997585,0,0,0
215,James Aish,FRE,0.221322,0,0,0
216,Jye Amiss,FRE,0.618176,0,0,0
217,Bailey Banfield,FRE,0.111206,0,0,0
218,Shai Bolton,FRE,4.36157,0,0,0
220,Will Brodie,FRE,0.376139,0,0,0
221,Jaren Carr,FRE,0.0692313,0,0,0
222,Heath Chapman,FRE,0.312359,0,0,0
224,Brennan Cox,FRE,0.153726,0,0,0
225,Sean Darcy,FRE,0.179347,0,0,0
226,Hugh Davies,FRE,0.348882,0,0,0
227,Jack Delean,FRE,0.0452457,0,0,0
228,Joshua Draper,FRE,0.713028,0,0,0
230,Michael Frederick,FRE,0.445915,0,0,0
231,Nat Fyfe,FRE,0.185889,0,0,0
233,Matthew Johnson,FRE,0.199517,0,0,0
234,Odin Jones,FRE,0.0757729,0,0,0
235,Oscar McDonald,FRE,0.267113,0,0,0
236,Ollie Murphy,FRE,0.151546,0,0,0
237,Quinton Narkle,FRE,0.586013,0,0,0
238,Charlie Nicholls,FRE,0.0621446,0,0,0
240,Jaeger O'Meara,FRE,0.659605,0,0,0
241,Alex Pearce,FRE,0.499338,0,0,0
247,Jeremy Sharp,FRE,0.409391,0,0,0
248,Cooper Simpson,FRE,0.239311,0,0,0
249,Sam Sturt,FRE,0.0403395,0,0,0
250,Sam Switkowski,FRE,0.183708,0,0,0
251,Josh Treacy,FRE,0.759364,0,0,0
252,Patrick Voss,FRE,0.0953975,0,0,0
253,Corey Wagner,FRE,0.735378,0,0,0
254,Brandon Walker,FRE,0.111206,0,0,0
255,Michael Walters,FRE,0.17117,0,0,0
256,Karl Worner,FRE,0.764815,0,0,0
257,Hayden Young,FRE,0.185344,0,0,0
258,Ben Ainsworth,GCS,0.140098,0,0,0
260,Mac Andrew,GCS,0.660696,0,0,0
261,Charlie Ballard,GCS,0.106845,0,0,0
262,Cooper Bell,GCS,0.267658,0,0,0
263,Thomas Berry,GCS,0.0844949,0,0,0
264,Connor Budarick,GCS,0.076318,0,0,0
265,Sam Clohesy,GCS,0.197882,0,0,0
266,Sam Collins,GCS,0.186979,0,0,0
267,Alex Davies,GCS,0.135737,0,0,0
269,Zak Evans,GCS,1.98372,0,0,0
270,Jy Farrar,GCS,0.0801339,0,0,0
271,Brayden Fiorini,GCS,0.0485164,0,0,0
272,Sam Flanders,GCS,2.43672,0,0,0
273,Caleb Graham,GCS,0.151001,0,0,0
274,Will Graham,GCS,0.152091,0,0,0
276,Elliott Himmelberg,GCS,0.0387041,0,0,0
277,Nick Holman,GCS,1.07499,0,0,0
279,Joel Jeffrey,GCS,0.173896,0,0,0
280,Lloyd Johnston,GCS,0.0343431,0,0,0
281,Ben King,GCS,1.42442,0,0,0
282,Max Knobel,GCS,0.180438,0,0,0
283,Sean Lemmens,GCS,0.137372,0,0,0
284,Leonardo Lombard,GCS,0.534771,0,0,0
285,Ben Long,GCS,0.14882,0,0,0
287,Ned Moyle,GCS,0.0823144,0,0,0
288,John Noble,GCS,1.60268,0,0,0
289,Wil Powell,GCS,0.355424,0,0,0
293,Malcolm Rosas,GCS,0.0490616,0,0,0
295,Alex Sexton,GCS,0.0730472,0,0,0
296,David Swallow,GCS,0.333073,0,0,0
297,Bodhi Uwland,GCS,0.250759,0,0,0
298,Jed Walter,GCS,0.332528,0,0,0
299,Lachie Weller,GCS,0.623082,0,0,0
301,Tom Atkins,GEE,0.236586,0,0,0
302,Jed Bews,GEE,0.331438,0,0,0
303,Mark Blicavs,GEE,0.663421,0,0,0
304,Jack Bowes,GEE,0.198972,0,0,0
305,Tanner Bruhn,GEE,0.166264,0,0,0
306,Cillian Burke,GEE,0.650883,0,0,0
307,Jeremy Cameron,GEE,4.30324,0,0,0
308,Jhye Clark,GEE,0.732108,0,0,0
310,Brad Close,GEE,0.337435,0,0,0
311,Toby Conway,GEE,0.179347,0,0,0
312,Patrick Dangerfield,GEE,0.540767,0,0,0
314,Oliver Dempsey,GEE,0.621992,0,0,0
315,Mitch Duncan,GEE,0.133011,0,0,0
316,Mitchell Edwards,GEE,0.147185,0,0,0
317,Cameron Guthrie,GEE,0.312904,0,0,0
319,Jack Henry,GEE,1.2478,0,0,0
320,Oliver Henry,GEE,0.893466,0,0,0
321,Lennox Hoffman,GEE,0.104665,0,0,0
324,Xavier Ivisic,GEE,0.776263,0,0,0
326,Jake Kolodjashnij,GEE,0.0883108,0,0,0
327,Shaun Mannagh,GEE,0.0964877,0,0,0
328,Jack Martin,GEE,1.72152,0,0,0
329,Keighton Matofai-Forbes,GEE,0.0632349,0,0,0
330,Gryan Miers,GEE,1.14041,0,0,0
331,Jacob Molier,GEE,0.120473,0,0,0
332,Oisin Mullin,GEE,0.784985,0,0,0
333,Shannon Neale,GEE,0.409937,0,0,0
334,Mark O'Connor,GEE,0.640526,0,0,0
337,Jay Polkinghorne,GEE,0.110661,0,0,0
338,Patrick Retschko,GEE,1.04011,0,0,0
340,Rhys Stanley,GEE,0.442644,0,0,0
341,Tyson Stengle,GEE,1.21073,0,0,0
342,George Stevens,GEE,0.129195,0,0,0
344,Oliver Wiltshire,GEE,0.154271,0,0,0
345,Leek Aleer,GWS,0.164629,0,0,0
347,Ryan Angwin,GWS,0.0512421,0,0,0
349,Toby Bedford,GWS,1.60649,0,0,0
350,Kieren Briggs,GWS,0.358695,0,0,0
351,Callum M. Brown,GWS,0.213145,0,0,0
352,Jack Buckley,GWS,0.157542,0,0,0
353,Aaron Cadman,GWS,0.639436,0,0,0
355,Stephen Coniglio,GWS,0.237676,0,0,0
356,Brent Daniels,GWS,1.20037,0,0,0
358,Wade Derksen,GWS,0.038159,0,0,0
359,Josh Fahey,GWS,0.0566934,0,0,0
360,Joe Fonti,GWS,0.0970329,0,0,0
361,Phoenix Gothard,GWS,0.0888559,0,0,0
365,Oliver Hannaford,GWS,0.420294,0,0,0
367,Jesse Hogan,GWS,1.10279,0,0,0
368,Connor Idun,GWS,0.217506,0,0,0
369,Darcy Jones,GWS,0.407211,0,0,0
373,Nicholas Madden,GWS,0.155907,0,0,0
374,Toby McMullin,GWS,0.0283467,0,0,0
375,Xavier O'Halloran,GWS,0.818783,0,0,0
376,Harrison Oliver,GWS,0.250214,0,0,0
377,Jack Ough,GWS,0.155907,0,0,0
378,Jake Riccardi,GWS,0.0479713,0,0,0
379,Harry Rowston,GWS,0.202243,0,0,0
380,Logan Smith,GWS,0.218597,0,0,0
382,Jake Stringer,GWS,0.322716,0,0,0
384,Harvey Thomas,GWS,0.0506969,0,0,0
385,Callan Ward,GWS,0.27747,0,0,0
386,Nathan Wardius,GWS,0.0354333,0,0,0
387,Jacob Wehr,GWS,0.210965,0,0,0
390,Cody Anderson,HAW,0.405576,0,0,0
391,Tom Barrass,HAW,0.955065,0,0,0
392,Josh Battle,HAW,0.923448,0,0,0
393,James Blanck,HAW,0.0703216,0,0,0
394,Luke Breust,HAW,0.44428,0,0,0
395,Sam Butler,HAW,0.125925,0,0,0
396,Mabior Chol,HAW,0.599096,0,0,0
397,Massimo D'Ambrosio,HAW,1.82782,0,0,0
399,Calsher Dear,HAW,0.214235,0,0,0
