player_id,oppo_avg
CD_I1027033,
CD_I1000981,62
CD_I1018123,50
CD_I1009208,89
CD_I294643,55
CD_I1017665,50
CD_I298524,133
CD_I291975,99
CD_I996731,146
CD_I997316,63
CD_I291351,6
CD_I998390,31
CD_I1008855,88
CD_I998782,1
CD_I998647,70
CD_I994185,89
CD_I1018323,
CD_I1013201,9
CD_I1028563,
CD_I1022383,
CD_I1022999,
CD_I1017959,
CD_I1015323,
CD_I1023272,79
CD_I1008312,55
CD_I1023542,
CD_I291753,19
CD_I1029405,
CD_I1009317,66
CD_I1024188,
CD_I1006550,15
CD_I1004364,81
CD_I1006114,88
CD_I1002138,19
CD_I1004848,45
CD_I1002282,6
CD_I1020959,61
CD_I1018425,5
CD_I993993,
CD_I1020250,
CD_I1017754,
CD_I997142,44
CD_I1003203,59
CD_I1015919,
CD_I1022371,
CD_I1002220,50
CD_I998529,103
