Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,19,CD_I1009256,Hayden Young,60,FRE,MID,782000,451200,35,55,39,CD_M20250141905,28,6,0,22,0,27,12,Fremantle,Collingwood,away,MCG,W,0.168388,0,0,0,0.46,0,0,0,9816.75480328484,137,5004.09030503944,166,West Coast Eagles,79.6597262201487,90.1662385160421
2025,19,CD_I296347,Josh Kelly,1010,GWS,MID,796000,448900,,,,,,,,,,,,,,,,,0.647961,0,0,0,1.9,0,0,0,9816.75480328484,85,5004.09030503944,71,Sydney Swans,81.085859426136,89.7066145165145
2025,19,CD_I1006136,Lachlan Sholl,10,ADE,MID,656000,325000,,,,,,,,,,,,,,,,,0.0747254,0,0,0,0.09,0,0,0,9816.75480328484,123,5004.09030503944,132,Port Adelaide,66.8245273662628,64.946869498479
2025,19,CD_I292128,Elliot Yeo,150,WCE,MID,933000,564700,,,,,,,,,,,,,,,,,0.0470872,0,0,0,0.16,0,0,0,9816.75480328484,95,5004.09030503944,115,Fremantle,95.0415915132976,112.847683710126
2025,19,CD_I997078,Mason Redman,50,ESS,DEF,782000,426900,97,96,94,CD_M20250141903,80,0,4,0,57,27,7,Essendon,GWS Giants,home,Marvel Stadium,L,0.386934,0,0,0,0.52,0,0,0,9816.75480328484,81,5004.09030503944,92,Western Bulldogs,79.6597262201487,85.3102110427713
2025,19,CD_I295898,Tim Kelly,150,WCE,MID/FWD,520000,306600,101,62,59,CD_M20250141906,82,10,0,36,0,28,9,West Coast Eagles,Richmond,home,Optus Stadium,L,0.248232,0.3,0,0,0.69,1.4,1,0,9816.75480328484,55,5004.09030503944,75,Fremantle,52.9706619366718,61.2698775022574
2025,19,CD_I1015889,Max Holmes,70,GEE,DEF/MID,1046000,554100,107,115,121,CD_M20250141902,81,22,3,67,30,33,10,Geelong Cats,St Kilda,home,GMHBA Stadium,W,44.1064,68.7,72,60,32.06,74.6,83,70,9816.75480328484,112,5004.09030503944,145,North Melbourne,106.552523818767,110.729416581868
2025,19,CD_I298268,Liam Duggan,150,WCE,DEF,888000,440300,106,119,112,CD_M20250141906,86,0,5,0,56,28,9,West Coast Eagles,Richmond,home,Optus Stadium,L,0.332682,0,0,0,0.91,0,0,0,9816.75480328484,65,5004.09030503944,65,Fremantle,90.4575919226241,87.9880204313239
2025,19,CD_I999827,Zac Fisher,100,NTH,DEF,503000,280100,,,,,,,,,,,,,,,,,0.113112,0,0,0,0.24,0,0,0,9816.75480328484,69,5004.09030503944,116,Geelong Cats,51.2389287579729,55.9742096816122
2025,19,CD_I1005144,Massimo D'Ambrosio,80,HAW,MID,694000,351500,87,80,67,CD_M20250141909,69,0,0,0,0,23,7,Hawthorn,Port Adelaide,home,UTAS Stadium,W,1.59073,0,0,0,3.86,0,0,0,9816.75480328484,66,5004.09030503944,63,Carlton,70.6954603539427,70.2425373191241
2025,19,CD_I1008436,Kieren Briggs,1010,GWS,RUC,760000,497600,70,124,83,CD_M20250141903,58,16,0,59,0,27,13,GWS Giants,Essendon,away,Marvel Stadium,W,1.71817,2.4,0,0,2.37,0.5,0,0,9816.75480328484,66,5004.09030503944,60,Sydney Swans,77.4186597535972,99.4386531152096
2025,19,CD_I290799,Tom Liberatore,140,WBD,MID,971000,578800,105,93,97,CD_M20250141908,82,22,0,81,0,27,14,Western Bulldogs,Brisbane Lions,away,Gabba,L,17.8312,15.4,11,10,9.95,3.2,4,10,9816.75480328484,91,5004.09030503944,128,Essendon,98.9125245009775,115.665378663753
2025,19,CD_I998215,Will Setterfield,50,ESS,MID,919000,431200,,,,,,,,,,,,,,,,,0.432486,0,0,0,1.19,0.1,0,0,9816.75480328484,112,5004.09030503944,110,Western Bulldogs,93.6154583073103,86.1695080853665
2025,19,CD_I295518,Sam Docherty,30,CAR,MID/DEF,877000,437400,104,108,77,CD_M20250141904,83,0,0,0,0,26,10,Carlton,Melbourne,home,MCG,W,1.0006,1.1,1,0,6.81,13.9,12,10,9816.75480328484,113,5004.09030503944,89,Hawthorn,89.3370586893483,87.408494518876
2025,19,CD_I294674,Nick Vlastuin,120,RIC,DEF,783000,435500,104,116,103,CD_M20250141906,85,0,2,0,25,28,8,Richmond,West Coast Eagles,away,Optus Stadium,W,1.15517,0,0,0,1.14,0,0,0,9816.75480328484,55,5004.09030503944,37,Collingwood,79.7615928777192,87.0288051279618
2025,19,CD_I998129,Will Brodie,60,FRE,MID,481000,191800,,,,,,,,,,,,,,,,,0.335241,0,0,0,0.23,0,0,0,9816.75480328484,49,5004.09030503944,39,West Coast Eagles,48.9978622914214,38.3286448301793
2025,19,CD_I297354,Karl Amon,80,HAW,DEF,882000,462000,102,76,80,CD_M20250141909,80,0,0,0,0,23,7,Hawthorn,Port Adelaide,home,UTAS Stadium,W,3.19886,0.2,0,0,3.8,0,0,0,9816.75480328484,79,5004.09030503944,108,Carlton,89.8463919772009,92.324472948607
2025,19,CD_I993903,Jacob Hopper,120,RIC,MID,857000,454800,104,139,127,CD_M20250141906,85,24,0,86,0,28,8,Richmond,West Coast Eagles,away,Optus Stadium,W,0.645402,0,0,0,0.57,0,0,0,9816.75480328484,54,5004.09030503944,27,Collingwood,87.2997255379379,90.8856499935638
