Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at,Opposition,home_status
2025,6,CD_I1027875,Darcy Wilson,130,STK,MID/FWD,692000,307500,112,50,53,CD_M20250140608,90,0,0,0,0,25,19,St Kilda,Marvel Stadium,L,1.35432,0,0,0,1.77,0,0,0,9868.64902109433,83,5049.58785903834,70,Brisbane Lions,70.1210468140921,60.896058962436,Western Bulldogs,away
2025,6,CD_I296355,Luke McDonald,100,NTH,DEF,607000,360600,105,52,52,CD_M20250140602,78,0,0,0,0,38,9,North Melbourne,Marvel Stadium,L,0.485492,0,0,0,0.29,0,0,0,9868.64902109433,74,5049.58785903834,116,Port Adelaide,61.5079124510895,71.4117686564372,Carlton,home
2025,6,CD_I998130,Ben Ainsworth,1000,GCS,FWD,681000,372800,90,78,55,CD_M20250140606,73,0,0,0,0,23,8,Gold Coast SUNS,Marvel Stadium,L,0.146777,0,0,0,0.19,0,0,0,9868.64902109433,71,5049.58785903834,52,Sydney Swans,69.0064058965271,73.8278074185241,Richmond,away
2025,6,CD_I1009226,Thomson Dow,120,RIC,MID,653000,344900,102,70,61,CD_M20250140606,82,16,0,70,0,23,15,Richmond,Marvel Stadium,W,0.395705,0,0,0,0.65,0,0,0,9868.64902109433,65,5049.58785903834,68,Melbourne,66.1691381063615,68.3026040199811,Gold Coast SUNS,home
2025,6,CD_I990290,Tom Barrass,80,HAW,DEF,503000,347400,104,67,46,CD_M20250140609,82,0,0,0,0,27,14,Hawthorn,MCG,L,0.92851,0,0,0,4.31,0,0,0,9868.64902109433,56,5049.58785903834,64,West Coast Eagles,50.9694892304745,68.7976939302448,Geelong Cats,away
2025,6,CD_I1014026,Kai Lohmann,20,BRL,FWD,489000,379800,,,,,,,,,,,,,,,0.979048,0,0,0,1.13,0,0,0,9868.64902109433,105,5049.58785903834,204,,49.5508553353917,75.2140591672625,,
2025,6,CD_I993832,Jacob Weitering,30,CAR,DEF,649000,399500,100,74,57,CD_M20250140602,74,0,0,0,0,38,5,Carlton,Marvel Stadium,W,1.70487,0,0,0,2.32,0,0,0,9868.64902109433,74,5049.58785903834,72,Geelong Cats,65.7638141363379,79.1153676601405,North Melbourne,away
2025,6,CD_I1010174,Mitch Georgiades,110,PTA,FWD,709000,421100,117,73,53,CD_M20250140607,90,0,0,0,0,27,17,Port Adelaide,SCG,W,0.422587,0,0,0,0.93,0,0,0,9868.64902109433,73,5049.58785903834,104,North Melbourne,71.8436736866927,83.3929444848189,Sydney Swans,away
2025,6,CD_I291570,Nat Fyfe,60,FRE,MID,613000,372800,,,,,,,,,,,,,,,0.17097,0,0,0,0.41,0,0,0,9868.64902109433,62,5049.58785903834,75,,62.115898406125,73.8278074185241,,
2025,6,CD_I1005053,Noah Answerth,20,BRL,DEF,564000,338600,111,109,65,CD_M20250140601,90,0,0,0,0,26,9,Brisbane Lions,Gabba,L,0.874745,0,0,0,0.6,0,0,0,9868.64902109433,54,5049.58785903834,22,St Kilda,57.1506797733352,67.0549774461165,Collingwood,home
2025,6,CD_I1008139,Toby Bedford,1010,GWS,MID/FWD,615000,344200,90,48,55,CD_M20250140605,77,10,0,67,0,15,10,GWS GIANTS,Adelaide Oval,L,1.54787,0,0,0,6.66,0,0,0,9868.64902109433,76,5049.58785903834,109,Western Bulldogs,62.3185603911368,68.1639788451073,Adelaide Crows,away
2025,6,CD_I1029159,Kayle Gerreyn,50,ESS,RUC,232000,113500,,,,,,,,,,,,,,,0.180648,0,0,0,6.67,0,0,0,9868.64902109433,24,5049.58785903834,23,,23.5087902613719,22.4770819259723,,
2025,6,CD_I1008855,Oskar Baker,140,WBD,MID/DEF,498000,246400,,,,,,,,,,,,,,,0.164519,0,0,0,0.2,0,0,0,9868.64902109433,34,5049.58785903834,40,,50.4628342679449,48.796061555591,,
2025,6,CD_I295203,Nathan Broad,120,RIC,DEF,658000,371500,112,79,73,CD_M20250140606,90,0,0,0,0,23,15,Richmond,Marvel Stadium,W,0.337102,0,0,0,0.44,0.2,0,0,9868.64902109433,42,5049.58785903834,46,Melbourne,66.6757930688911,73.5703606651869,Gold Coast SUNS,home
2025,6,CD_I1023743,Nicholas Madden,1010,GWS,RUC,230000,119900,,,,,,,,,,,,,,,0.155916,0,0,0,1.44,0,0,0,9868.64902109433,23,5049.58785903834,24,,23.3061282763601,23.7445120962474,,
2025,6,CD_I1032161,Logan Smith,1010,GWS,RUC,230000,113500,,,,,,,,,,,,,,,0.22366,0,0,0,0.19,0,0,0,9868.64902109433,23,5049.58785903834,23,,23.3061282763601,22.4770819259723,,
2025,6,CD_I1015370,Max Michalanney,10,ADE,DEF,542000,307700,100,79,60,CD_M20250140605,85,0,1,0,10,15,10,Adelaide Crows,Adelaide Oval,W,0.274736,0,0,0,0.59,0,0,0,9868.64902109433,67,5049.58785903834,61,Fremantle,54.9213979382051,60.9356661552571,GWS GIANTS,home
2025,6,CD_I1017051,Josh Rachele,10,ADE,FWD,692000,351400,,,,,,,,,,,,,,,0.567751,0,0,0,0.72,0,0,0,9868.64902109433,84,5049.58785903834,95,,70.1210468140921,69.5898377866667,,
2025,6,CD_I294643,Alex Sexton,1000,GCS,DEF,733000,402000,,,,,,,,,,,,,,,0.060216,0,0,0,0.14,0,0,0,9868.64902109433,117,5049.58785903834,141,,74.2756175068346,79.6104575704042,,
2025,6,CD_I1023482,Cam Mackenzie,80,HAW,MID,705000,391900,93,67,68,CD_M20250140609,73,15,0,56,0,27,14,Hawthorn,MCG,L,2.49681,0.3,0,0,2.1,0.1,0,0,9868.64902109433,71,5049.58785903834,102,West Coast Eagles,71.438349716669,77.6102943329388,Geelong Cats,away
2025,6,CD_I1009421,Finn Maginness,80,HAW,MID/FWD,535000,271900,,,,,,,,,,,,,,,1.27099,0,0,0,3.35,0,0,0,9868.64902109433,58,5049.58785903834,48,,54.2120809906637,53.8459786402808,,
2025,6,CD_I1017128,Dante Visentini,110,PTA,RUC,443000,248900,,,,,,,,,,,,,,,0.124196,0,0,0,0.49,0,0,0,9868.64902109433,45,5049.58785903834,50,,44.8896296801197,49.2911514658547,,
2025,6,CD_I1023346,Liam Reidy,60,FRE,RUC,398000,132600,,,,,,,,,,,,,,,7.09796,1,1,0,3.38,0.1,0,0,9868.64902109433,43,5049.58785903834,19,,40.3297350173536,26.2595688403871,,
2025,6,CD_I1023708,Jaspa Fletcher,20,BRL,MID/DEF,703000,397700,94,91,70,CD_M20250140601,77,0,3,0,33,26,9,Brisbane Lions,Gabba,L,0.956467,0.1,0,0,2.1,0.2,0,0,9868.64902109433,49,5049.58785903834,55,St Kilda,71.2356877316572,78.7589029247506,Collingwood,home
2025,6,CD_I290826,Jamie Cripps,150,WCE,FWD,634000,356600,105,73,72,CD_M20250140603,86,0,0,0,0,25,11,West Coast Eagles,Optus Stadium,L,0.176885,0,0,0,0.28,0,0,0,9868.64902109433,59,5049.58785903834,76,Hawthorn,64.2438492487491,70.6196248000153,Essendon,home
2025,6,CD_I1008454,Connor Budarick,1000,GCS,DEF/MID,626000,292400,93,45,55,CD_M20250140606,75,0,0,0,0,23,8,Gold Coast SUNS,Marvel Stadium,L,0.0623666,0,0,0,0.06,0,0,0,9868.64902109433,85,5049.58785903834,97,Sydney Swans,63.4332013087018,57.9057159044432,Richmond,away
2025,6,CD_I1020250,Neil Erasmus,60,FRE,MID/FWD,454000,119900,,,,,,,,,,,,,,,15.8142,2.3,4,0,0.93,0,0,0,9868.64902109433,32,5049.58785903834,-50,,46.0042705976847,23.7445120962474,,
2025,6,CD_I990609,Charlie Cameron,20,BRL,FWD,553000,293100,103,47,52,CD_M20250140601,84,0,0,0,0,26,9,Brisbane Lions,Gabba,L,0.873132,0,0,0,1.12,0,0,0,9868.64902109433,59,5049.58785903834,73,St Kilda,56.0360388557702,58.0443410793171,Collingwood,home
